	TH_HAZ_LAT_60_1	TH_OOE_CLE_60	TH_OOE_TRA1_60	TH_OOR_GAL_60	TH_OOR_MAS_60	TH_PEA_LIO_60	TH_PIS_LAT_60	TH_SES_KAD1_60	TH_SES_KAD2_60	TH_SES_MAR_60	TH_WAL_LAT_60	TH_AVO_CHO_60	TH_OOE_ANT3_60	TH_OOE_ANT4_60	TH_OOE_AUM_60	TH_OOE_AUR_60	TH_OOE_GIA_60	TH_OOE_ILF_60	TH_OOE_ILF2_60	TH_OOE_MAS_60	TH_OOE_ACU_60	TH_OOE_BUO_60	TH_OOE_COL3_60	TH_SUN_SAF2_60	TH_GRA_BAS1_60	TH_GRA_CAR_60	TH_OOE_ANT1_60	TH_OOE_ANT2_60	TH_OOE_BOR_60	TH_OOE_CEN_60	TH_OOE_COL2_60	TH_OOE_COL5_60	TH_OOE_FIL_60	TH_OOE_FRA1_60	TH_SES_GRE_60	TH_ALM_KIS_60	TH_ALM_LAT_60	TH_FLA_GOL1_60	TH_GRA_BAS2_60	TH_MAC_HGV_60	TH_OOE_COL4_60	TH_OOE_FRA2_60_1	TH_OOE_FRA3_60_1	TH_OOE_LOR_60	TH_OOE_MIN_60_1	TH_OOE_PAR_60	TH_OOE_PLA_60	TH_OOE_PRT_60	TH_OOE_VAL_60	TH_OOR_FIL_60_1	TH_PUM_PEL_60	TH_RIC_EPI_60	TH_SES_CLI_60	TH_SES_DID2_60	TH_SES_LAT_60	TH_SES_TOK_60	TH_SES_YEO_60	TH_SUN_SAF1_60_1	TH_AVO_SAN2_60_1	TH_CAN_COM_60_1	TH_HAZ_GEO_60	TH_OOE_ALL_60	TH_CAN_CED_60_2	TH_COR_MAZ_60	TH_FLA_GOL2_60	TH_OOE_CAL_60	TH_OOE_CRI_60	TH_OOE_DOM_60	TH_OOE_FRA4_60	TH_OOE_GEM_60	TH_OOE_KRI_60	TH_OOE_KRN1_60	TH_OOE_PAE_60	TH_OOE_TRA2_60	TH_PEA_CED_60	TH_SES_DID1_60	TH_SUN_UNI_60	TH_AVO_LAT_60	TH_AVO_OLI_	TH_AVO_SAN1_60	TH_OOE_KRN2_60	TH_OOE_KRT_60	TH_OOE_NEF_60	TH_OOE_NUN_60	TH_OOE_SAM1_60	TH_OOE_SAM2_60	TH_OOE_SOL_60	TH_PEA_PLA_60	TH_PUM_GEA_60	TH_SUN_CED_60	TH_SUN_COM_60	TH_CAN_HAR_60	TH_GRA_MAN_60	TH_HEM_GOL_60	TH_HEM_SAT_60	TH_OOE_COL1_60	TH_OOE_HER_60	
-1.04484	0.88438	0.10399	-0.363602	0.0523713	-0.0956992	0.0696945	0.211661	0.0158433	0.169986	0.0831901	0.13892	0.0048519	0.150078	-0.0492167	-0.00704635	0.146219	0.188133	-0.0106863	0.24306	0.0936621	0.194046	0.0591157	0.140166	0.00093551	0.159978	0.234626	-0.0442735	0.124693	0.0719261	0.169295	0.0499301	0.867878	0.120161	0.244579	-0.0917921	0.139212	0.129863	0.179747	0.0875349	-0.00693891	-0.0281625	-0.0068644	0.123488	-0.0748883	0.203495	-0.0443655	-0.0158088	0.0644898	0.103312	-0.000478878	0.113207	-0.0981615	0.182933	-0.0212397	0.0489557	-0.000680433	0.109724	0.0805975	0.136942	0.269304	0.0157145	0.154007	-0.0198031	-0.0693646	-0.0902834	0.11154	0.0949395	-0.0258903	0.0437058	0.223022	0.205961	0.165926	0.120568	0.0127162	0.203039	0.0944347	0.133916	0.164172	0.25755	-0.0180787	0.139432	-0.0695047	0	0.0789918	-0.0151478	0.0895366	0.0906539	-0.0310135	0.017043	0.0915626	-0.119226	0.0875644	0.0166616	0.163555	0.367157	-0.0225391	-0.130062	
-1.04187	0.763419	0.113791	-0.194192	0.0110363	-0.191598	0.0633889	0.065946	-0.0307956	0.0733808	-0.0116586	-0.00149741	-0.0969055	-0.00334328	-0.201127	0.0295686	0.0901053	0.114434	0.0609916	0.144543	0.0875737	0.220462	0.0731329	0.0650136	-0.0466533	0.137123	0.181974	0.00483907	-0.0920182	-0.0317485	0.131221	-0.17859	0.536406	0.0492931	0.0504603	0.132306	0.103443	0.0252733	0.176873	0.0685192	-0.0413151	-0.00514711	-0.0165108	0.131256	-0.0261847	0.0615765	-0.11534	0.0859083	-0.00736066	-0.0750741	-0.113776	0.104876	-0.15598	-0.0207226	-0.0454565	0.0497682	0.0439374	0.0824015	0.0465014	0.300217	0.0248985	-0.0278881	0.0916758	0.0291489	-0.18659	0.0794267	0.210196	0.232963	-0.0715822	0.131012	0.116808	-0.00153528	-0.036601	0.00114257	0.0629395	0.148412	0.106362	0.172699	0.172557	0.24505	0.0623765	0.133933	-0.0469846	0	0.166723	-0.043383	-0.270527	0.0558435	-0.0078457	-0.180177	0.0239889	-0.228736	0.0450588	0.156761	0.301798	0.485613	0.0660951	0.04758	
-1.03891	0.590402	0.0758661	-0.0195024	0.0224078	-0.186777	0.00414983	-0.0887559	-0.0373531	-0.160697	-0.0718352	-0.0141324	-0.144699	-0.0793781	-0.0985349	0.0690706	0.00028211	0.070194	0.182058	0.0477343	0.143942	0.149375	0.0690925	0.0362854	0.0101992	0.0766314	0.125492	-0.118772	-0.0939557	-0.0656919	0.107645	-0.0782157	0.414811	-0.0976391	0.0238833	0.0808071	0.118707	0.137045	-0.0355689	-0.0569346	-0.100024	0.115723	-0.0518984	0.121314	0.113732	-0.101646	-0.101445	0.0767141	0.0102522	-0.115582	-0.180572	-0.0679225	-0.105342	-0.00560492	-0.000134075	-0.0262762	0.0558498	-0.0364869	0.0515832	0.0375256	0.0392475	0.00220163	0.0949319	0.0523642	-0.0360558	0.0704698	0.165933	0.115515	0.0565054	-0.0257991	0.0867002	0.134887	-0.0391774	0.154561	0.041779	0.144037	0.111888	0.155633	-0.0119096	0.0940637	0.166055	0.110776	-0.0339407	0.000151291	0.0710818	0.0681426	-0.103873	-0.0431183	0.135825	-0.022835	-0.0976767	-0.0295553	0.0699361	0.0326809	-0.0505135	0.0927423	-0.011078	0.0131728	
-1.03594	0.511312	0.0476339	0.000701526	0.0368764	-0.116673	-0.0937006	-0.127803	-0.0611467	-0.275925	-0.00602071	0.0844484	-0.0983302	-0.118074	-0.097984	0.132422	-0.0196143	-0.0539921	0.114489	-0.132338	0.13347	0.0214103	0.0874397	0.0934862	0.018192	-0.0513556	0.00862531	-0.125812	-0.0528951	-0.228146	-0.0409776	-0.0242852	0.213962	-0.0813532	-0.0385704	0.0384511	0.0485395	0.0839049	-0.196037	0.0200039	0.0445719	-0.122883	0.0697771	0.0526883	-0.0266045	0.0204879	-0.108298	-0.0867787	0.0699368	-0.0819012	-0.136592	-0.00169386	-0.0250026	-0.0172422	0.00118494	0.0175752	-0.0268989	-0.0645983	-0.00102398	-0.00295286	0.0759208	0.058335	0.0744619	-0.00107856	0.103714	0.195573	0.127238	0.0846208	0.0209803	0.0072373	0.00906185	-0.00989973	0.0167471	-0.00871656	0.0232704	0.00219605	0.0563071	0.0694353	-0.0383952	0.0175816	0.0425492	-0.0747576	0.107093	1.43796	0.0788511	0.151126	0.0409803	-0.0490857	0.0636358	-0.106583	0.022516	-0.147678	0.0514661	0.0320059	0.152694	-0.104221	-0.0425152	-0.0104591	
-1.03297	0.184623	-0.100213	-0.0440899	0.0716235	-0.0867941	-0.237269	-0.140892	-0.0981423	-0.296103	0.0186757	0.146321	-0.134485	-0.132143	-0.231825	0.133558	-0.0385219	-0.147445	-0.0197762	-0.190194	0.192428	-0.0871446	0.0183243	0.0976681	0.0296512	-0.0105523	-0.0299532	-0.0121097	-0.0114443	-0.137798	0.0374746	-0.0204989	0.0389121	-0.212618	-0.0159949	0.0630511	0.0107766	0.0919781	-0.24802	-0.0745415	-0.0377907	-0.123136	0.10827	0.000632264	0.0256022	-0.00778647	0.0450635	0.00231843	0.0125374	-0.0722625	-0.00788909	0.0433612	-0.0425539	0.0322864	-0.0640737	0.0636686	0.00177878	-0.0304026	0.12214	0.0339638	0.111846	0.164766	0.145527	0.0155165	0.115827	0.0497384	0.0410569	-0.237781	0.0886382	-0.16682	0.000631194	0.0922415	0.153211	0.0780709	-0.00330064	-0.0175983	-0.000969287	-0.00704727	-0.0374507	0.0728385	0.0730608	-0.212548	0.169878	1.41361	-0.0382313	0.105905	0.0928475	-0.0643707	0.0884135	0.160496	-0.0120577	-0.111775	0.0629545	-0.0953331	0.0861844	-0.320696	-0.0826985	-0.0867513	
-1.03	0.0423445	-0.154979	0.00342902	-0.0163294	-0.0528026	-0.200395	-0.155283	-0.000962032	-0.190512	-0.00437202	0.283776	-0.12797	-0.133939	-0.181535	0.0566298	-0.0495117	-0.172644	-0.0865401	-0.152637	0.147684	-0.0733403	-0.0372153	-0.0471296	0.00572388	0.0646076	-0.0875462	0.0918764	-0.0754987	-0.103019	0.0126042	-0.030557	-0.302016	-0.114097	-0.102382	0.0555762	-0.0455338	-0.0732883	-0.0474458	0.000727693	-0.0419179	0.0342033	0.0132222	-0.146328	0.147411	-0.00554047	0.183907	0.0334414	-0.226228	-0.061472	-0.00687891	0.0674671	-0.0760692	-0.00479772	0.0915815	0.20179	0.0277529	0.0675835	0.046337	0.183702	0.0927326	0.0293594	0.0411419	-0.119262	-0.0019943	0.309754	0.0432125	-0.0623822	-0.106449	-0.0212869	-0.138978	0.0514831	0.0184113	0.000325778	-0.0226522	-0.1756	-0.0971947	0.00305748	0.198568	0.0825648	0.0409683	-0.232739	0.130232	0.628557	-0.0811475	-0.000290169	0.0146438	-0.0802674	0.0420728	0.0227151	-0.0258247	-0.0928099	0.0631115	0.00245851	0.0865784	-0.147917	-0.0558251	-0.117975	
-1.02703	-0.153667	-0.12455	0.0227241	-0.0840568	-0.0188194	-0.0695591	-0.143642	0.0466646	-0.121116	-0.0920952	0.180699	-0.10683	-0.0936384	-0.0518784	-0.078306	-0.136173	-0.0697789	-0.0522961	-0.150155	0.092624	-0.0284577	-0.0793825	-0.136759	-0.0563532	0.0769358	-0.112959	-0.0366285	0.0806628	-0.0070694	-0.00697655	0.0493941	-0.356856	-0.0289896	-0.093896	-0.125238	-0.0241294	0.00670878	-0.166892	-0.0955986	-0.0424333	0.15207	-0.186623	-0.209741	0.0811172	-0.0520375	0.169405	0.065457	-0.284325	-0.0291856	-0.12501	0.0616471	0.0996024	0.04413	0.0565135	0.130189	0.135409	-0.0382056	0.0381271	-0.0154377	0.149304	-0.0276835	0.0716329	0.090917	0.203253	0.147802	-0.0580923	0.123135	-0.120636	-0.154079	0.0598858	0.0753225	0.0343134	-0.0521276	0.0830477	-0.0821389	-0.164718	-0.0549099	0.131708	-0.0537817	0.192188	-0.110697	0.0452407	0.800007	-0.171145	-0.140308	0.0523736	-0.0932952	0.0672939	-0.079269	-0.135703	0.0485109	-0.0321969	-0.042933	0.0320589	-0.149043	-0.0669914	-0.0856181	
-1.02406	-0.119044	0.00653808	0.0313378	-0.120626	-0.0475432	0.0922353	-0.0362572	0.0465149	-0.162006	-0.0693883	-0.0895575	-0.0726286	-0.0410271	0.0140786	-0.151494	-0.212489	-0.0283236	0.0270098	-0.237684	0.0421663	-0.0145917	-0.0963309	-0.194561	-0.154736	0.00101843	-0.109035	-0.0778499	0.0811627	-0.00985609	-0.0922559	-0.0136365	-0.288461	0.0601358	-0.199892	-0.313719	-0.0101696	0.0193921	0.152619	-0.0596389	0.0607518	0.141335	-0.145026	-0.134584	0.0380006	0.00540423	0.146137	0.0461736	-0.0937335	0.0985862	-0.0335965	0.166145	0.107381	-0.020625	0.104047	-0.0881317	0.242091	-0.115488	-0.06513	-0.0509095	0.0452724	-0.101537	0.0874864	0.107786	0.222582	0.208567	0.00238596	0.188866	-0.064193	-0.052012	-0.0284965	-0.102925	-0.0686212	-0.12344	-0.0069043	-0.107294	-0.154902	-0.0837359	0.183879	-0.00381531	0.143597	0.0483904	-0.0188166	0.238377	-0.077036	-0.182916	0.116907	0.094907	-0.0490859	-0.0669692	-0.053808	0.0642182	-0.098857	-0.0251858	0.0565733	0.0819048	-0.0302709	0.129686	
-1.02109	-0.186301	-0.115169	-0.031081	-0.0975908	-0.0739269	0.0444861	0.0234375	-0.0062668	-0.128166	-0.0050986	-0.400808	0.026329	0.054348	0.0868903	-0.254903	-0.230442	0.0115957	0.0730365	-0.245779	-0.105148	-0.0869056	-0.0885343	-0.130163	-0.181631	-0.0546507	-0.0855945	-0.102775	-0.0645998	0.0367441	-0.163606	-0.126637	0.114081	-0.0237256	-0.101262	-0.193841	0.0466734	-0.0385649	0.137498	-0.0781555	-0.0276031	-0.0303513	-0.0442091	-0.0618322	0.127651	-0.0839399	-0.0272244	-0.0163296	0.0928269	0.118758	0.0384637	0.192578	-0.0429297	-0.0100992	0.113933	-0.217032	0.13233	-0.136091	-0.0340758	-0.126815	-0.123275	-0.167632	0.0349203	0.149753	0.116322	0.010389	-0.119031	0.0879623	-0.0875106	0.0251682	-0.0624563	-0.0788216	-0.0377982	-0.0629434	0.060533	-0.0626931	-0.125168	-0.0219724	-0.0063281	0.0554498	0.168308	0.0334361	-0.153943	0.162156	0.0369819	-0.0284895	0.137375	0.110607	-0.174467	-0.113337	-0.0297949	0.0894912	-0.0982246	-0.0661379	0.0342501	-0.160474	-0.0546304	0.178988	
-1.01812	-0.198938	-0.116994	-0.0688998	-0.173569	-0.0571521	-0.148828	0.0162192	-0.102048	0.103725	0.00304384	-0.381403	0.200475	0.0932476	0.0239435	-0.304219	-0.208446	-0.0191217	0.0525179	-0.206662	-0.348226	-0.0954033	-0.000702756	0.019677	-0.148801	-0.0967297	-0.0807547	-0.0341509	-0.106145	-0.171602	-0.117128	-0.114813	0.0374987	-0.0361315	-0.140461	0.0401182	0.0341067	-0.0690413	-0.00503914	-0.182085	0.00748148	-0.112814	-0.0893622	-0.107055	0.0234195	0.0199102	-0.153186	0.0473633	0.163839	0.125375	0.0470097	0.0646497	-0.0637655	-0.0724251	0.071515	-0.171793	0.0399341	0.0973381	-0.0935832	0.00940609	-0.246076	-0.146408	-0.128796	0.0361203	-0.165401	-0.0355692	-0.188185	0.0274904	-0.179252	0.0945692	-0.217478	-0.127357	-0.165519	-0.229361	0.164958	-0.0637359	-0.0821321	0.0464559	-0.0806304	0.08188	-0.0498684	-0.0865487	-0.119974	-0.0994816	0.0259831	0.0254758	0.0392953	0.191731	-0.201276	-0.183993	0.0115751	0.0857233	-0.0818637	0.0253137	0.114474	-0.124857	-0.118904	0.213263	
