	TH_HAZ_LAT_60_1	TH_OOE_CLE_60	TH_OOE_TRA1_60	TH_OOR_GAL_60	TH_OOR_MAS_60	TH_PEA_LIO_60	TH_PIS_LAT_60	TH_SES_KAD1_60	TH_SES_KAD2_60	TH_SES_MAR_60	TH_WAL_LAT_60	TH_AVO_CHO_60	TH_OOE_ANT3_60	TH_OOE_ANT4_60	TH_OOE_AUM_60	TH_OOE_AUR_60	TH_OOE_GIA_60	TH_OOE_ILF_60	TH_OOE_ILF2_60	TH_OOE_MAS_60	TH_OOE_ACU_60	TH_OOE_BUO_60	TH_OOE_COL3_60	TH_SUN_SAF2_60	TH_GRA_BAS1_60	TH_GRA_CAR_60	TH_OOE_ANT1_60	TH_OOE_ANT2_60	TH_OOE_BOR_60	TH_OOE_CEN_60	TH_OOE_COL2_60	TH_OOE_COL5_60	TH_OOE_FIL_60	TH_OOE_FRA1_60	TH_SES_GRE_60	TH_ALM_KIS_60	TH_ALM_LAT_60	TH_FLA_GOL1_60	TH_GRA_BAS2_60	TH_MAC_HGV_60	TH_OOE_COL4_60	TH_OOE_FRA2_60_1	TH_OOE_FRA3_60_1	TH_OOE_LOR_60	TH_OOE_MIN_60_1	TH_OOE_PAR_60	TH_OOE_PLA_60	TH_OOE_PRT_60	TH_OOE_VAL_60	TH_OOR_FIL_60_1	TH_PUM_PEL_60	TH_RIC_EPI_60	TH_SES_CLI_60	TH_SES_DID2_60	TH_SES_LAT_60	TH_SES_TOK_60	TH_SES_YEO_60	TH_SUN_SAF1_60_1	TH_AVO_SAN2_60_1	TH_CAN_COM_60_1	TH_HAZ_GEO_60	TH_OOE_ALL_60	TH_CAN_CED_60_2	TH_COR_MAZ_60	TH_FLA_GOL2_60	TH_OOE_CAL_60	TH_OOE_CRI_60	TH_OOE_DOM_60	TH_OOE_FRA4_60	TH_OOE_GEM_60	TH_OOE_KRI_60	TH_OOE_KRN1_60	TH_OOE_PAE_60	TH_OOE_TRA2_60	TH_PEA_CED_60	TH_SES_DID1_60	TH_SUN_UNI_60	TH_AVO_LAT_60	TH_AVO_OLI_	TH_AVO_SAN1_60	TH_OOE_KRN2_60	TH_OOE_KRT_60	TH_OOE_NEF_60	TH_OOE_NUN_60	TH_OOE_SAM1_60	TH_OOE_SAM2_60	TH_OOE_SOL_60	TH_PEA_PLA_60	TH_PUM_GEA_60	TH_SUN_CED_60	TH_SUN_COM_60	TH_CAN_HAR_60	TH_GRA_MAN_60	TH_HEM_GOL_60	TH_HEM_SAT_60	TH_OOE_COL1_60	TH_OOE_HER_60	
-1.01515	-0.258367	-0.0983254	-0.0901243	-0.204358	-0.0673418	-0.168394	-0.169173	-0.220076	0.12469	0.0186345	-0.426987	0.270876	0.095885	-0.0562867	-0.0882702	-0.193322	-0.194292	0.087591	-0.107951	-0.422845	0.0394107	0.0425616	-0.00919803	-0.0214015	-0.051547	-0.0111967	-0.120924	-0.0208436	-0.134513	-0.0183595	-0.0552765	0.079888	-0.0549757	-0.168954	0.0513172	0.049906	-0.0157146	-0.0465498	-0.228795	-0.00207783	-0.167377	-0.131442	0.117151	-0.0184265	0.0632732	-0.132595	0.151378	0.0970297	0.058136	0.133244	-0.0274642	-0.111622	-0.101423	-0.152347	-0.122242	0.0730106	0.103077	0.0503473	0.0181078	-0.00578622	-0.0193547	-0.0984144	0.0481779	-0.0881915	-0.0458991	-0.24652	0.0212264	-0.103476	0.0724912	-0.094734	0.0212364	-0.0401927	-0.221713	0.117012	-0.0881786	-0.0529061	0.108555	-0.0810889	0.168433	-0.0119984	-0.0952194	-0.143283	0.424869	-0.198855	-0.0474999	0.0447784	0.0685046	-0.00662417	-0.161078	-0.00508288	0.0985358	0.0728389	0.00136805	-0.0219732	-0.251405	-0.147333	-0.0394947	
-1.00921	-0.543332	0.010594	-0.131517	-0.0596613	0.181866	-0.152897	-0.234893	0.0110573	0.154423	-0.179735	-0.278554	0.278956	-0.169318	-0.161725	-0.0647521	-0.113744	-0.285568	-0.0749775	0.0439426	-0.245072	-0.142145	-0.0716945	-0.279021	0.188863	0.0151711	-0.0493217	-0.00296986	0.0450631	0.0468885	-0.00165282	-0.149896	0.0236672	0.0246477	-0.172503	0.224176	-0.203309	-0.151303	-0.186901	-0.0631562	0.0295941	-0.0642879	-0.113296	0.0588527	0.0560426	-0.110888	0.0328512	-0.213413	0.196278	-0.0475356	-0.0239517	-0.0301687	-0.00464136	-0.109075	-0.0346488	-0.0860773	-0.00706231	0.00195797	-0.0410539	-0.070164	-0.0971834	0.0945249	0.06169	0.0659681	-0.0736757	0.132618	-0.171619	-0.219459	-0.098768	0.1461	-0.161682	-0.0138246	-0.0016804	-0.0858601	-0.16005	0.115052	-0.110888	0.084434	-0.222555	0.00144199	-0.0551707	-0.0669388	-0.0835053	0.201442	0.0540838	0.093824	-0.101262	-0.222637	0.0598472	-0.0414619	-0.0876097	-0.0194251	0.0677509	-0.0735836	-0.206045	-0.061781	-0.042569	-0.226248	
-1.00327	-0.217666	-0.00401845	-0.324161	-0.30503	0.114521	-0.114933	-0.198167	0.039775	0.0941878	-0.29307	-0.449037	-0.157523	-0.393401	-0.077424	-0.0811278	0.0398078	0.00708238	0.0634311	0.0607272	-0.116064	-0.14561	-0.102849	-0.0720957	0.0151068	0.121812	-0.238828	-0.133881	-0.0892286	0.0220374	-0.104421	-0.0916718	0.0192638	0.0324476	-0.00584183	0.0327374	-0.0578199	-0.21146	0.0404164	0.170208	-0.180216	0.0895356	-0.179073	0.0241589	0.0353764	0.00256998	0.0888684	-0.199384	0.150953	0.0699826	0.104482	-0.208586	0.0586648	0.0305326	-0.0114028	0.105279	-0.0890308	-0.0431531	-0.0919256	-0.0209467	-0.0758898	0.204899	-0.0291069	0.00351973	0.0619599	-0.0211121	0.0186857	-0.163844	-0.132302	-0.0712411	-0.0529563	-0.0874764	-0.193285	-0.124975	0.0159632	-0.0159955	-0.182151	0.0515397	-0.1174	0.054014	-0.0881768	0.129731	-0.143447	-0.0464709	0.0848531	0.121303	-0.234128	-0.179031	0.0976081	-0.0561125	0.0713344	-0.291108	-0.07785	-0.172981	-0.105665	-0.133971	-0.0675162	-0.0044866	
-0.997333	0.0545137	-0.017277	-0.0614937	-0.218769	-0.0643421	-0.247645	-0.116351	-0.207927	-0.00143026	-0.047633	-0.531914	-0.159161	-0.192109	-0.0352495	-0.095951	0.236201	-0.220999	-0.107891	-0.0867646	-0.0529927	0.0467487	-0.0533901	-0.076691	0.0212545	-0.0621882	-0.276162	-0.206755	-0.157294	-0.22319	-0.0186005	0.0757194	-0.125806	-0.0677054	-0.0113453	-0.0813549	0.14469	0.00843195	-0.0682338	-0.138882	-0.149004	-0.129543	-0.00616969	0.166027	0.0289624	-0.175273	-0.000653835	0.00504906	0.0372963	0.0588356	0.0210159	-0.289809	-0.0159344	-0.0361106	-0.11322	0.0437406	-0.157213	-0.00793467	-0.0342878	-0.127702	-0.0163409	0.047118	0.00386695	-0.00858921	0.0315967	0.0135562	-0.00480815	-0.0179529	0.0977311	-0.069306	-0.180344	-0.358856	0.0123152	-0.264067	0.0204305	-0.055644	-0.0634898	0.0934718	0.0860139	0.0559781	-0.209524	0.0533394	-0.146645	-0.145494	-0.0509293	0.0894774	0.06614	0.0349477	-0.0413083	-0.0582704	-0.0340219	-0.113889	-0.0656158	0.0453257	-0.114397	-0.159913	-0.00777837	-0.0258067	
-0.991394	-0.27436	-0.0626043	-0.278838	-0.128496	-0.196908	-0.292148	-0.0747074	-0.225301	-0.211916	0.023749	-0.335454	-0.239044	-0.146175	-0.0367639	-0.222322	0.0417464	-0.239357	-0.338256	-0.282262	0.00545403	-0.0541674	-0.0655703	-0.0418671	-0.0846818	-0.19941	-0.00116172	-0.022567	-0.0523353	-0.0755154	-0.0345771	0.0515787	-0.190257	-0.298705	0.0372184	-0.221754	-0.191668	-0.0490322	0.0790733	-0.0755638	-0.156315	-0.104773	0.193579	-0.0140659	-0.142334	-0.0986625	-0.190669	-0.143889	-0.0618223	-0.0260726	-0.0293954	-0.0531301	-0.153475	0.0557181	-0.0409466	-0.0816588	0.0700842	-0.149827	-0.0760427	0.12031	0.0332263	-0.15276	-0.0769495	0.055234	-0.134068	-0.0054747	-0.0787329	-0.0551935	0.338634	-0.163903	-0.0382905	-0.158773	-0.173081	-0.124545	0.168291	-0.195747	-0.0386235	-0.040474	0.0544677	0.0347485	-0.168854	-0.0417916	-0.0359456	-0.222086	-0.0139416	-0.0243453	-0.123217	-0.0991518	-0.0724471	0.0974486	-0.0579162	-0.0233054	-0.0156524	0.00125655	0.0548496	0.075967	-0.168941	-0.02597	
-0.985455	0.0107822	0.0264405	-0.16229	-0.236539	-0.160896	-0.131894	-0.373297	0.0337056	-0.221884	-0.0447066	-0.23993	-0.103393	-0.27399	-0.192615	-0.0260382	-0.138518	-0.16124	-0.0173134	-0.350075	-0.20282	0.0264073	-0.278253	-0.00163811	-0.348932	-0.245716	-0.075027	-0.079843	-0.246346	-0.169053	-0.0644917	-0.149636	-0.262443	-0.0747781	0.0377946	-0.0251851	-0.232609	-0.0294051	-0.0944944	-0.0728456	0.023486	-0.0526718	-0.197953	-0.0909955	0.0585718	-0.0589953	0.111537	-0.00688922	-0.0417655	-0.060965	0.0289421	-0.00538627	-0.208444	-0.0708642	0.0689213	0.0056395	-0.0885964	-0.0342434	-0.106841	0.0696355	-0.153105	-0.0513107	0.144362	-0.108875	-0.0169816	-0.0882953	-0.0677003	0.0567826	0.025077	-0.1652	0.0231554	-0.14685	-0.204338	0.0492547	0.102457	-0.0557339	-0.118571	-0.289007	-0.0563631	-0.0940126	0.104624	0.0333068	-0.131947	-0.184718	0.035389	0.00775797	-0.122101	0.0557507	-0.223826	0.0413908	0.0420386	0.0117315	0.0848782	-0.104722	0.0104741	-0.380195	-0.225271	-0.094598	
-0.979516	-0.218293	0.25143	-0.271467	-0.0375821	-0.248985	-0.019202	-0.148818	-0.0432599	-0.180923	-0.0112607	-0.431526	-0.00606481	-0.170581	0.104274	-0.169781	-0.236776	-0.11904	0.141931	-0.344703	-0.18993	0.0324718	-0.431919	-0.151162	-0.27255	-0.198329	0.00916782	-0.232015	-0.072712	0.0391404	0.0261189	-0.15384	-0.0820575	-0.0178324	-0.0666341	-0.0561408	-0.00438187	-0.0564369	-0.365332	-0.0428494	-0.199354	-0.0456503	0.16982	-0.0814096	-0.244346	-0.0804425	-0.255967	0.00801538	0.0768812	-0.017303	-0.177107	-0.12014	0.119212	-0.0263351	0.0103901	-0.155893	0.0620544	-0.0385067	0.0284507	0.0292184	-0.179561	-0.0148639	0.00382567	-0.090867	-0.157436	-0.352814	0.0708825	-0.0551268	-0.368956	0.0365653	-0.108656	-0.222343	-0.160978	0.0797835	-0.0218613	-0.0449524	-0.134622	-0.0965829	-0.0969787	-0.0363394	-0.0904619	-0.072924	-0.136348	-0.133384	-0.199336	-0.0879555	-0.145821	-0.250379	-0.0921859	-0.247525	-0.164121	0.0326807	-0.187878	-0.0382853	-0.0916375	-0.280765	-0.16835	0.137479	
-0.973577	-0.171949	-0.0441942	-0.364326	-0.239529	0.0210113	-0.0364246	0.110817	-0.0671292	-0.151061	-0.0261864	-0.387811	-0.153986	-0.0897494	0.123075	-0.369671	-0.0689316	0.0395089	0.0877093	-0.169127	-0.0215103	-0.211172	-0.350861	-0.0706761	-0.400824	-0.166327	0.0803336	-0.0470476	-0.19759	0.0859271	-0.110654	-0.0116866	-0.033235	-0.0379697	-0.251339	-0.138799	-0.0321418	-0.148813	0.0881978	-0.0584111	-0.229499	0.0672042	-0.0373086	-0.141638	-0.180639	0.0508643	-0.0200082	0.15929	0.0666511	-0.133481	-0.0644977	0.0658893	0.0404942	0.0107267	-0.105679	0.0346761	-0.0415519	-0.0902882	0.0137984	-0.0301529	0.0536074	-0.238443	-0.0594955	-0.0915603	-0.0775139	-0.197199	0.133665	-0.142959	-0.228434	-0.231123	-0.000774063	0.0195798	0.0111785	0.0539498	-0.0623229	-0.174885	-0.0145833	-0.0276678	-0.0365391	-0.249738	0.0360953	0.0195238	-0.00180319	0.00367496	-0.224398	-0.0388189	-0.0458756	-0.0933715	-0.0589322	-0.29153	-0.0822039	-0.101576	-0.113628	-0.00209343	-0.253663	-0.0898594	-0.157368	-0.192718	
-0.967638	-0.117322	-0.0206485	-0.00042881	-0.0378332	0.154269	-0.0157593	0.0438428	-0.057245	-0.0583936	-0.17023	-0.428453	-0.133324	-0.14729	0.145385	-0.201427	-0.0723326	0.0799877	-0.232229	-0.0902233	-0.154425	-0.279426	-0.215786	0.013017	-0.0682789	-0.0320393	0.000181643	-0.0341994	-0.161169	-0.13457	-0.307335	-0.188264	-0.0698253	0.0539138	-0.0667649	-0.0350164	0.0089681	-0.207158	-0.266352	9.97852e-05	-0.00858244	0.00405329	0.0483004	-0.245661	0.0326523	-0.0147406	-0.0882142	-0.0609983	-0.0327177	-0.245687	-0.00862588	-0.0739681	0.00860532	-0.122865	0.0206443	0.102207	0.0753817	-0.141619	-0.0361998	-0.0438122	-0.0217459	-0.0521311	0.0413437	-0.100245	-0.00489889	0.0949232	-0.0858191	-0.0177587	-0.475044	-0.208356	-0.0374642	-0.0196071	-0.0869964	-0.00039578	-0.0791736	0.0298187	0.0804784	-0.106416	-0.00737186	-0.0232555	-0.112685	0.0634067	0.117154	-0.514169	-0.149082	-0.171971	-0.106041	-0.251854	0.0651727	0.0253586	0.025229	-0.223849	-0.00193356	-0.0674186	-0.344481	0.0108574	-0.00163689	-0.177774	
-0.961699	-0.0758878	-0.156583	0.00403589	0.041981	0.0727509	-0.0912338	0.0108714	0.0091937	-0.272131	-0.156746	-0.448268	-0.230754	-0.212189	-0.166662	-0.00917806	-0.288039	-0.038295	0.0230424	-0.0838389	-0.292164	-0.248143	-0.138907	-0.0323093	-0.0123719	-0.233517	-0.0658411	0.0242097	-0.251666	-0.297401	-0.1029	0.00936139	-0.183184	-0.0867986	-0.0625496	0.0583155	-0.0461166	0.00022903	-0.0949676	-0.281331	-0.0333586	-0.275316	-0.119106	-0.103115	-0.0553424	0.0026964	0.0328147	-0.0604357	-0.0422063	-0.151618	0.111078	-0.0350948	0.0351017	-0.210467	0.0134778	0.0569755	-0.0398742	0.130732	-0.0874627	-0.0477749	-0.0832232	-0.114718	-0.131136	-0.120655	-0.183571	0.130094	0.173602	-0.208555	-0.0791945	0.104772	-0.235408	0.110704	-0.0820289	-0.00218631	-0.0773215	-0.0523046	0.197429	-0.214391	-0.197025	0.177956	-0.166668	0.0435212	-0.104517	-0.390236	-0.129157	-0.113453	0.0658432	-0.190136	-0.0526425	0.240939	-0.0205889	-0.0133317	-0.11223	-0.138524	-0.0732524	-0.140094	-0.180948	-0.119262	
