"	1-065_ANT4	1-065_OE_BUO	1-065_OOE_ANT1	1-065_OOE_ANT2	1-065_OOE_ANT3	1-065_OOE_CEN	1-065_OOE_COL5	FM__1-065_OOE_ACU	FM_1_065_OOE__FIL	FM_1-065_ALM-KIS	FM_1-065_ALM-LAT	FM_1-065_AVO_LAT	FM_1-065_AVO_OLI	FM_1-065_AVO_SAN2	FM_1-065_AVO-CHO	FM_1-065_AVO-SAN1	FM_1-065_CAN_CED	FM_1-065_CAN_COM	FM_1-065_CAN_HAR	FM_1-065_COR-MAZ	FM_1-065_FLA-GOL1	FM_1-065_FLA-GOL2	FM_1-065_GRA-BAS1	FM_1-065_GRA-BAS2	FM_1-065_GRA-CAR	FM_1-065_GRA-MAN	FM_1-065_HAZ_GEO	FM_1-065_HAZ_LAT	FM_1-065_HEM_GOL	FM_1-065_ILF1	FM_1-065_MAG-HGV	FM_1-065_OOE_AUM	FM_1-065_OOE_BOR	FM_1-065_OOE_CAL	FM_1-065_OOE_COL1	FM_1-065_OOE_COL3	FM_1-065_OOE_CRI	FM_1-065_OOE_FRA1	FM_1-065_OOE_FRA4	FM_1-065_OOE_GEM	FM_1-065_OOE_HER	FM_1-065_OOE_KRI	FM_1-065_OOE_KRN	FM_1-065_OOE_KRN2	FM_1-065_OOE_KRT	FM_1-065_OOE_MAS	FM_1-065_OOE_NEF	FM_1-065_OOE_PAE	FM_1-065_OOE_SAM2	FM_1-065_OOE_TRA1	FM_1-065_OOE-ALL	FM_1-065_OOE-AUR	FM_1-065_OOE-CLE	FM_1-065_OOE-COL2	FM_1-065_OOE-COL4	FM_1-065_OOE-DOM	FM_1-065_OOE-FRA3	FM_1-065_OOE-GIA	FM_1-065_OOE-ILF2	FM_1-065_OOE-LOR	FM_1-065_OOE-MIN	FM_1-065_OOE-NUN	FM_1-065_OOE-PLA	FM_1-065_OOE-PRT	FM_1-065_OOE-SAM1	FM_1-065_OOE-SOL	FM_1-065_OOE-TRA2	FM_1-065_OOE-VAL	FM_1-065_OOR-FILL	FM_1-065_OOR-GAL	FM_1-065_OOR-MAS	FM_1-065_PEA_PLA	FM_1-065_PEA-CED	FM_1-065_PEA-LIO	FM_1-065_PIS-LAT	FM_1-065_PUM_GEA	FM_1-065_PUM_PEL	FM_1-065_RIC_EPI	FM_1-065_SED-DID1	FM_1-065_SES_CLI	FM_1-065_SES-D1D2	FM_1-065_SES-GRE	FM_1-065_SES-KAD1	FM_1-065_SES-KAD2	FM_1-065_SES-MJR	FM_1-065_SUN_CEO	FM_1-065_SUN_COM	FM_1-065_SUN-SAF	FM_1-065_SUN-SAF2	FM_1-065_SUN-UNI	FM_1-065_WAL-LAT	FM_1-0655_SES_TOK	FM1-065_OOE-FRA2	FM-1-065_OOE-PAR	"
"-1.11009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0622677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0462529	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"
"-1.10415	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.127193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.101516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"
"-1.09821	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0641312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.20302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"
"-1.09227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0280305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.121007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"
"-1.08633	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0981784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0107478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"
"-1.08039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.120754	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0615628	0.00196902	0	0	0	0	0	0	0	0	0	0.00149868	0	0	0	0	"
"-1.07445	0.00237267	0	0	0	0	0	0	0	0	0	0	0.0033114	0	0.00243354	0	-0.156145	0	0	0	0	0	0	0	0.00346977	0	0.0024366	0	0	0	0	0.00109689	0.000957559	0	0	0	0	0	0.00293353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0263114	0.298056	0	0	0	0	0	0.0051313	0	0	0	0.225416	0	0	0	0	"
"-1.0685	0.324619	0	0.00376804	0.00551974	0.00423918	0.00373457	0	0.00539588	0	0	0	0.464905	0.00175661	0.3343	0	-0.191959	0	0	0.00380887	0	0	0	0	0.49563	0	0.344004	0	0	0	0.00453566	0.153165	0.123872	0.00380273	0	0.00314072	0	0	0.411345	0	0	0	0	0	0	0	0	0	0	0	0.005877	0	0	0	0	0	0	0	0	0.00264495	0	0	0	0	0	0	0.00406603	0	0	0	0	0.00269	0	0	0	0	0	0.00427367	0.00504242	-0.0906698	0.0430034	0.00408184	0	0	0	0	0.662484	0	0	0	0.159418	0	0.00447417	0	0	"
"-1.06256	0.436609	0.00474229	0.457481	0.737162	0.559556	0.497335	0.00451755	0.719248	0.00792276	0	0.00425212	0.197075	0.232728	0.212709	0	-0.0445462	0.00568782	0.00557341	0.523492	0	0	0	0	0.0746695	0.00445872	0.132227	0.00562015	0.00687605	0.00534301	0.602082	0.174225	0.105012	0.481305	0.00982624	0.399894	0.00661405	0.00738241	0.414813	0.00554436	0.00889537	0.00639682	0.0086106	0.00702063	0	0.00740637	0.00689082	0.00782515	0	0.00574702	0.781294	0	0.00517001	0.00905995	0.00486047	0.00509688	0.00358413	0	0.00620676	0.353569	0.00677693	0	0	0.00782501	0.00798789	0	0.495246	0.00610347	0	0	0.00604339	0.360269	0.00573762	0	0.0066447	0	0.00758891	0.574725	0.689378	0.0267815	0.0663447	0.519124	0	0.00552832	0.00551791	0	0.307666	0.00773656	0.00453785	0	0.214708	0	0.594173	0	0.00612486	"
"-1.05662	0.0921213	0.583556	0.137946	0.138082	0.228081	0.34562	0.568158	0.326194	0.988649	0	0.53607	0.0549244	0.187595	0.160634	0	0.0344077	0.726477	0.71175	0.537633	0	0.00366122	0.00385036	0	0.133509	0.557981	0.20301	0.715332	0.877089	0.68191	0.435428	0.178351	0.0261193	0.144715	1.23666	0.387717	0.828091	0.922394	0.248662	0.696108	1.12552	0.803193	1.08893	0.883163	0.00861998	0.936541	0.860473	0.983673	0.00907739	0.722086	0.235572	0	0.647028	1.05894	0.60747	0.642194	0.439129	0.00717732	0.779658	0.157637	0.872462	0.0117965	0.00680025	1.0223	1.04347	0	0.394672	0.748878	0.00612577	0.00569735	0.755643	0.279315	0.735819	0.00721111	0.822707	0.00700283	0.963078	0.304548	0.327246	0.00429656	0.233923	0.304951	0.00378313	0.688915	0.693733	0.0107292	0.230731	0.989194	0.581799	0	0.0714097	0.00806729	0.468914	0.00576514	0.765309	"
