	1-065_ANT4	1-065_OE_BUO	1-065_OOE_ANT1	1-065_OOE_ANT2	1-065_OOE_ANT3	1-065_OOE_CEN	1-065_OOE_COL5	FM__1-065_OOE_ACU	FM_1_065_OOE__FIL	FM_1-065_ALM-KIS	FM_1-065_ALM-LAT	FM_1-065_AVO_LAT	FM_1-065_AVO_OLI	FM_1-065_AVO_SAN2	FM_1-065_AVO-CHO	FM_1-065_AVO-SAN1	FM_1-065_CAN_CED	FM_1-065_CAN_COM	FM_1-065_CAN_HAR	FM_1-065_COR-MAZ	FM_1-065_FLA-GOL1	FM_1-065_FLA-GOL2	FM_1-065_GRA-BAS1	FM_1-065_GRA-BAS2	FM_1-065_GRA-CAR	FM_1-065_GRA-MAN	FM_1-065_HAZ_GEO	FM_1-065_HAZ_LAT	FM_1-065_HEM_GOL	FM_1-065_ILF1	FM_1-065_MAG-HGV	FM_1-065_OOE_AUM	FM_1-065_OOE_BOR	FM_1-065_OOE_CAL	FM_1-065_OOE_COL1	FM_1-065_OOE_COL3	FM_1-065_OOE_CRI	FM_1-065_OOE_FRA1	FM_1-065_OOE_FRA4	FM_1-065_OOE_GEM	FM_1-065_OOE_HER	FM_1-065_OOE_KRI	FM_1-065_OOE_KRN	FM_1-065_OOE_KRN2	FM_1-065_OOE_KRT	FM_1-065_OOE_MAS	FM_1-065_OOE_NEF	FM_1-065_OOE_PAE	FM_1-065_OOE_SAM2	FM_1-065_OOE_TRA1	FM_1-065_OOE-ALL	FM_1-065_OOE-AUR	FM_1-065_OOE-CLE	FM_1-065_OOE-COL2	FM_1-065_OOE-COL4	FM_1-065_OOE-DOM	FM_1-065_OOE-FRA3	FM_1-065_OOE-GIA	FM_1-065_OOE-ILF2	FM_1-065_OOE-LOR	FM_1-065_OOE-MIN	FM_1-065_OOE-NUN	FM_1-065_OOE-PLA	FM_1-065_OOE-PRT	FM_1-065_OOE-SAM1	FM_1-065_OOE-SOL	FM_1-065_OOE-TRA2	FM_1-065_OOE-VAL	FM_1-065_OOR-FILL	FM_1-065_OOR-GAL	FM_1-065_OOR-MAS	FM_1-065_PEA_PLA	FM_1-065_PEA-CED	FM_1-065_PEA-LIO	FM_1-065_PIS-LAT	FM_1-065_PUM_GEA	FM_1-065_PUM_PEL	FM_1-065_RIC_EPI	FM_1-065_SED-DID1	FM_1-065_SES_CLI	FM_1-065_SES-D1D2	FM_1-065_SES-GRE	FM_1-065_SES-KAD1	FM_1-065_SES-KAD2	FM_1-065_SES-MJR	FM_1-065_SUN_CEO	FM_1-065_SUN_COM	FM_1-065_SUN-SAF	FM_1-065_SUN-SAF2	FM_1-065_SUN-UNI	FM_1-065_WAL-LAT	FM_1-0655_SES_TOK	FM1-065_OOE-FRA2	FM-1-065_OOE-PAR	
-1.13684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.160599	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.122414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
-1.13387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.297218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.237085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
-1.1309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0253837	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0356901	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
-1.12793	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.261127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.212474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
-1.12496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0237005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0534323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
-1.12199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.128212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.242825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
-1.11902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0318304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.096184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
-1.11605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.106861	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.16563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
-1.11308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0661928	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.100444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
-1.11011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0331406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0947191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
-1.10714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.178912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0891003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
-1.10417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0980479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.104514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
-1.1012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0169429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.119043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
-1.09823	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.118026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.026285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
-1.09526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.057518	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.170433	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
-1.09229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.116506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.118467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
-1.08932	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0206496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0664899	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
-1.08635	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00793855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0127627	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
-1.08338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0374354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0403779	-0.00121199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
-1.08041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.220958	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00955079	-0.212647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
-1.07744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0934098	0	0	0	0	0	0	0	0	0	9.44963e-05	0	0	0	0	-0.000156909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0207765	0.190724	0	0	0	0	0	0	0	0	0	-0.000393155	0	0	0	0	
-1.07447	0	0	0	0	0	0	0	0	0	0	0	0.000711262	0	0.000853715	0	-0.0752358	0	0	0	0	0	0	0	0.00156221	0	0.0176358	0	0	0	0	-0.02348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0157756	0.0789244	0	0	0	0	0	0	0	0	0	-0.0611048	0	0	0	0	
-1.0715	0.00105194	0	0.00223536	0	0	0	0	0	0	0	0	0.111862	-0.000145428	0.127678	0	-0.0569293	0	0	0	0	0	0	0	0.254874	0	0.357409	0	0	0	0	0.155057	0.000371861	0	0	0	0	0	0.000965339	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0015035	0	0	0	0	0	0	0	0.0516601	-0.0318343	0.000217904	0	0	0	0	0.00117963	0	0	0	0.197653	0	0.000362755	0	0	
-1.06853	0.146817	0	0.282481	0	0.00281428	0.00254752	0	0	0	0	0	0.339744	-0.0208425	0.37811	0	-0.019152	0	0	0.000853351	0	0	0	0	0.552709	0	-0.112497	0	0	0	0.00307377	-0.0325082	0.0468002	0.00251135	0	0.00112361	0	0	0.142564	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00184116	0	0	0	0	0	0	0	0	0	0	0	0.233343	0	0	0	0	0	0.000734529	0.00196767	0.00365792	0.0139018	0.0329329	0	0	0	0	0.152695	0	0	0	-0.0741853	0	0.0579591	0	0	
-1.06556	0.147582	0.0029565	0.28124	0.00319502	0.410237	0.37671	0.00218111	0.00331705	0	0	0	0.214975	0.14633	-0.0378467	0	0.0184834	0.00215763	0.00267497	0.136648	0	0	0	0	0.0259613	0	0.10192	0.00356341	0	0	0.451123	0.137625	0.0468002	0.335316	0.00344653	0.15012	0	0	0.142564	0	0	0	0	0	0	0	0	0.00395219	0	0	0.00174268	0	0.00297947	0	0	0	0	0	0.00316438	0.275801	0	0	0	0	0	0	0.00191288	0.00395359	0	0	0.00216383	0.232961	0.00284083	0	0.00405204	0	0.000635572	0.114032	0.311302	-0.0433707	0.0596377	0.391952	0	0.00197477	0	0	0.620037	0	0	0	0.172401	0	0.457085	0	0.00391774	
-1.06259	0.247574	0.40705	0.133407	0.462824	0.408934	0.374844	0.313611	0.476367	0	0	0.00211842	0.0907755	-0.0207603	0.251166	0	0.0366573	0.327826	0.40421	0.430815	0	0	0	0	0.0999936	0.000371238	0.130685	0.534939	0.00160199	0	0.447452	0.0532574	0.0468002	0.333731	0.505975	0.15012	0.00437635	0	0.142564	0.00381673	0.00625548	0.00492567	0.00377474	0.00452174	0	0	0.00377156	0.57485	0	0.00341693	0.252365	0	0.428313	0.00705247	0.00300879	0.00295372	0.00219398	0	0.457337	0.27506	0	0	0	0.00441491	0	0	0.227385	0.543135	0	0	0.312353	0.177688	0.428857	0	0.562896	0	0.0998606	0.502124	0.518392	0.0248893	0.105374	0.112052	0	0.282707	0.00219928	0	0.0991694	0	0.00222918	0	0.0534	0	0.0326633	0	0.558231	
-1.05962	0.342339	0.404198	-0.0130499	0.460971	0.231512	0.120363	0.313611	0.47496	0.00605306	0	0.298559	0.0427875	0.146168	-0.0495747	0	0.0534674	0.631196	0.571569	0.136794	0	0	0	0	-0.0755593	0.0551803	0.15847	0.532592	0.236033	-0.00230468	-0.0489046	0.181321	0.0466921	0.134878	0.947845	0.15012	0.605512	0.00491187	0.142564	0.535343	0.887715	0.689032	0.538932	0.63603	0	0.00510478	0.521133	0.771347	0.00657556	0.47781	0.643747	0	0.426936	0.848927	0.415254	0.414475	0.290138	0.00607808	0.456517	0.17166	0.00424532	0	0	0.672572	0.00451845	0	0.227385	0.539963	0	0	0.52522	0.122398	0.428453	0	0.560201	0.00269	0.847613	-0.00994679	0.134218	0.0924008	0.149839	0.230265	0	0.614774	0.308817	0.00512625	0.248623	0.00209776	0.326433	0	0.244834	0	0.406834	0.00346964	0.557241	
-1.05665	-0.194713	0.0407662	-0.00565818	0.210037	0.0554102	0.269427	0.313611	0.286	0.809647	0	0.511512	-0.00520047	-0.0313571	0.152884	0	-0.102288	-0.0532493	0.0304712	0.42977	0	0.000730212	-0.000877625	0	0.106564	0.548275	0.057791	0.204215	0.806016	-0.314647	0.338715	-0.0964322	0.0345414	-0.061581	0.555814	0.149731	0.604508	0.657509	0.142564	0.533053	0.882878	0.684441	0.909173	0.633728	0	0.698126	0.519537	0.338487	0.866989	0.476726	0.316395	0	0.241829	0.84129	0.414355	0.413673	0.289385	0.846536	0.345836	0.0688203	0.605607	0.00600227	0.00335548	0.668604	0.66438	0	0.227385	0.134627	0.00407297	0.00315307	0.102312	0.0648227	0.371752	0	0.214885	0.304726	0.300016	0.256238	0.167772	0.0761065	0.0278769	-0.0266907	0.00205596	0.140885	0.630717	0.632482	0.0144595	0.298501	0.519628	0	0.169399	0	0.0555939	0.476851	0.425211	
-1.05368	-0.0122808	0.269061	0.00173349	-0.0387808	0.0465391	-0.277769	0.312475	0.0984646	0.802714	0	0.0721324	-0.0531885	0.126426	-0.0535856	0	0.0517706	0.123719	0.171687	0.0130177	0	0.0950614	-0.106951	0	-0.188258	-0.271087	-0.0426422	-0.120506	0.375865	0.654164	0.257195	-0.0156234	0.0223907	0.0229316	0.166194	0.103767	0.474346	0.651782	0.142564	0.232406	0.246395	0.0882693	0.253433	0.330519	0.00393628	0.693911	0.312736	0.303043	0.861388	0.334736	-0.00831325	0	0.0575478	-0.0186385	0.298123	0.308279	0.195846	0.634226	0.235337	0.038662	0.604117	0.794641	0.445593	0.112239	0.662966	0.00590226	0.226539	0.141028	0.537715	0.417194	0.111418	0.00637394	0.314836	0.0034686	0.560031	0.603864	0.159933	-0.139343	-0.0182152	0.0592368	-0.0931029	0.11446	0.256393	0.333182	0.226462	1.00703	0.180718	0.736126	0.0960739	0	0.091854	0.00119455	0.106424	0.474974	0.292742	
-1.05071	-0.0190984	-0.0622993	0.00912516	-0.0208569	0.037668	-0.00922853	0.16905	0.0890166	-0.0595483	0.00746629	0.349857	-0.100814	0.137025	0.0427365	0	0.0442151	0.0965514	-0.012455	0.184336	0	0.390604	0.220901	0	0.114578	0.298335	-0.112758	0.0299998	0.322719	0.0652727	0.175674	-0.0156234	0.01024	0.106379	0.0821875	0.0578026	0.34334	-0.0600713	0.142564	-0.0655014	0.357518	0.173164	0.344656	0.0297267	0.504863	0.159978	0.107017	0.0296588	0.174374	0.191525	-0.00335341	0	-0.0234363	0.138004	0.182528	0.202921	0.102822	0.0732555	0.147715	0.00850367	0.405281	1.06456	0.648865	0.411407	0.468928	0.705392	0.136229	-0.122621	0.533279	0.41611	0.125021	-0.161747	0.229784	0.425998	0.209155	0.273335	-0.284144	-0.142195	0.211665	-0.0187117	-0.0931029	-0.0780183	0.256393	-0.0875318	0.465645	-0.0047084	-0.0362589	0.257898	0.322931	0	-0.236618	0.156945	0.182365	0.233162	0.1057	
-1.04774	-0.0259677	-0.0358659	0.0161719	-0.00293311	0.028797	0.0294064	0.0256255	0.0795687	0.127592	0.920915	0.154561	-0.105613	0.145918	0.0219896	0	0.0354661	0.0698228	0.143031	-0.137117	0.0022617	0.0952071	-0.0168383	0.0016672	-0.11087	-0.268907	-0.1814	0.178728	-0.355711	0.305076	0.0941533	-0.0154247	-0.00194564	0.0715792	-0.00181911	0.0118382	0.110133	0.210688	0.141979	-0.0279205	0.192206	0.130193	0.0317715	0.0255154	0.724027	0.449392	0.0320514	0.149948	0.353999	-0.0974545	0.00160648	0	-0.102552	-0.162939	0.143784	0.101918	0.069694	0.340292	0.0600924	-0.0216547	0.207477	0.445511	0.341138	0.208517	0.27621	0.701733	0.0459199	0.298437	-0.0111905	0.281286	0.134503	-0.327246	0.143816	0.713308	-0.138306	-0.055187	0.220632	0.00987264	0.0258837	-0.0958308	-0.0935153	-0.0305339	0.256393	0.158299	-0.0781826	0.256457	0.145864	0.217289	0.0582769	0	-0.0459455	0.839753	0.256368	-0.00640612	-0.0791051	
-1.04477	-0.0384667	0.00546641	-0.0115469	0.0149908	0.0188723	0.067313	-0.117799	0.0701207	0.05659	0.915175	-0.0410466	-0.109391	-0.0401106	0.00141876	0	-0.106509	0.0969906	-0.02226	-0.103396	0.262095	0.38899	0.139339	0.205425	0.0232727	0.158284	-0.0789225	0.110316	-0.144316	-0.108252	0.00884096	0.00720992	-0.0176403	0.0364406	-0.0858257	-0.0333478	-0.120814	-0.0789462	0.0747984	0.00966037	0.0253667	0.0861135	0.165848	0.0213042	0.261842	-0.101575	-0.0418354	-0.371279	0.175855	0.01127	0.00656637	0	0.0385917	0.0441235	0.10504	0.000915048	0.0357227	0.161283	-0.02753	-0.0508849	0.137884	0.37301	0.441211	0.00580075	0.251955	0.291506	-0.0443896	0.150618	0.147114	0.147037	-0.33535	-0.182732	-0.054638	0.184789	-0.0944466	-0.176149	-0.139252	0.15986	0.254873	-0.089225	-0.141792	-0.0419087	0.254917	-0.0929766	0.0239353	0.0103235	-0.149504	-0.25239	0.184512	0	0.00817111	0.24911	0.104486	0.0238204	-0.0020878	
