"t1_60_ico_bin_ppm","t1_60_ico_nat_ppm","t1_60_ico_zf_ppm","t2_60_ico_bin_ppm","t2_60_ico_nat_ppm","t2_60_ico_zf_ppm","t2_400_ico_bin_ppm","t2_400_ico_pbin_ppm","t2_400_ico_nat_ppm","t2_400_ico_zf_ppm"
"1.47611","-0.778314","-0.926781","1.47597","-0.778549","-0.927022","-0.697152","-2.94987","-3.204","-3.22842"
"1.52614","-0.772376","-0.923812","1.526","-0.77261","-0.924053","-0.647039","-2.94393","-3.20303","-3.22793"
"1.57617","-0.766437","-0.920843","1.57603","-0.766671","-0.921084","-0.596925","-2.93799","-3.20205","-3.22744"
"1.62619","-0.760498","-0.917873","1.62606","-0.760733","-0.918114","-0.546811","-2.93205","-3.20107","-3.22695"
"1.67622","-0.75456","-0.914904","1.67608","-0.754794","-0.915145","-0.496698","-2.92611","-3.2001","-3.22646"
"1.72625","-0.748621","-0.911935","1.72611","-0.748855","-0.912175","-0.446584","-2.92017","-3.19912","-3.22598"
"1.77627","-0.742682","-0.908965","1.77614","-0.742916","-0.909206","-0.39647","-2.91423","-3.19814","-3.22549"
"1.8263","-0.736744","-0.905996","1.82617","-0.736977","-0.906236","-0.346357","-2.90829","-3.19717","-3.225"
"1.87633","-0.730805","-0.903027","1.8762","-0.731038","-0.903267","-0.296243","-2.90235","-3.19619","-3.22451"
"1.92635","-0.724866","-0.900057","1.92623","-0.725099","-0.900297","-0.246129","-2.89641","-3.19521","-3.22402"
"1.97638","-0.718928","-0.897088","1.97626","-0.71916","-0.897328","-0.196016","-2.89047","-3.19424","-3.22353"
"2.02641","-0.712989","-0.894119","2.02629","-0.713221","-0.894358","-0.145902","-2.88453","-3.19326","-3.22305"
"2.07643","-0.70705","-0.891149","2.07631","-0.707282","-0.891389","-0.0957883","-2.87859","-3.19228","-3.22256"
"2.12646","-0.701111","-0.88818","2.12634","-0.701343","-0.888419","-0.0456746","-2.87265","-3.19131","-3.22207"
"2.17649","-0.695173","-0.885211","2.17637","-0.695404","-0.88545","0.00443904","-2.86671","-3.19033","-3.22158"
"2.22651","-0.689234","-0.882241","2.2264","-0.689465","-0.882481","0.0545527","-2.86077","-3.18935","-3.22109"
"2.27654","-0.683295","-0.879272","2.27643","-0.683527","-0.879511","0.104666","-2.85483","-3.18838","-3.22061"
"2.32657","-0.677357","-0.876303","2.32646","-0.677588","-0.876542","0.15478","-2.84889","-3.1874","-3.22012"
"2.37659","-0.671418","-0.873333","2.37649","-0.671649","-0.873572","0.204894","-2.84295","-3.18642","-3.21963"
"2.42662","-0.665479","-0.870364","2.42652","-0.66571","-0.870603","0.255007","-2.83701","-3.18545","-3.21914"
"2.47665","-0.659541","-0.867395","2.47654","-0.659771","-0.867633","0.305121","-2.83107","-3.18447","-3.21865"
"2.52667","-0.653602","-0.864425","2.52657","-0.653832","-0.864664","0.355235","-2.82513","-3.18349","-3.21816"
"2.5767","-0.647663","-0.861456","2.5766","-0.647893","-0.861694","0.405348","-2.81919","-3.18252","-3.21768"
"2.62673","-0.641725","-0.858487","2.62663","-0.641954","-0.858725","0.455462","-2.81325","-3.18154","-3.21719"
"2.67675","-0.635786","-0.855517","2.67666","-0.636015","-0.855755","0.505576","-2.80731","-3.18056","-3.2167"
"2.72678","-0.629847","-0.852548","2.72669","-0.630076","-0.852786","0.555689","-2.80136","-3.17959","-3.21621"
"2.77681","-0.623909","-0.849579","2.77672","-0.624137","-0.849816","0.605803","-2.79542","-3.17861","-3.21572"
"2.82683","-0.61797","-0.846609","2.82674","-0.618198","-0.846847","0.655917","-2.78948","-3.17763","-3.21523"
"2.87686","-0.612031","-0.84364","2.87677","-0.612259","-0.843878","0.70603","-2.78354","-3.17666","-3.21475"
"2.92689","-0.606093","-0.840671","2.9268","-0.606321","-0.840908","0.756144","-2.7776","-3.17568","-3.21426"
"2.97691","-0.600154","-0.837701","2.97683","-0.600382","-0.837939","0.806258","-2.77166","-3.1747","-3.21377"
"3.02694","-0.594215","-0.834732","3.02686","-0.594443","-0.834969","0.856371","-2.76572","-3.17373","-3.21328"
"3.07697","-0.588276","-0.831763","3.07689","-0.588504","-0.832","0.906485","-2.75978","-3.17275","-3.21279"
"3.12699","-0.582338","-0.828793","3.12692","-0.582565","-0.82903","0.956599","-2.75384","-3.17177","-3.2123"
"3.17702","-0.576399","-0.825824","3.17695","-0.576626","-0.826061","1.00671","-2.7479","-3.1708","-3.21182"
"3.22705","-0.57046","-0.822855","3.22697","-0.570687","-0.823091","1.05683","-2.74196","-3.16982","-3.21133"
"3.27707","-0.564522","-0.819885","3.277","-0.564748","-0.820122","1.10694","-2.73602","-3.16884","-3.21084"
"3.3271","-0.558583","-0.816916","3.32703","-0.558809","-0.817152","1.15705","-2.73008","-3.16787","-3.21035"
"3.37713","-0.552644","-0.813946","3.37706","-0.55287","-0.814183","1.20717","-2.72414","-3.16689","-3.20986"
"3.42715","-0.546706","-0.810977","3.42709","-0.546931","-0.811213","1.25728","-2.7182","-3.16591","-3.20937"
"3.47718","-0.540767","-0.808008","3.47712","-0.540992","-0.808244","1.30739","-2.71226","-3.16494","-3.20889"
"3.52721","-0.534828","-0.805038","3.52715","-0.535053","-0.805275","1.35751","-2.70632","-3.16396","-3.2084"
"3.57723","-0.52889","-0.802069","3.57718","-0.529114","-0.802305","1.40762","-2.70038","-3.16298","-3.20791"
"3.62726","-0.522951","-0.7991","3.6272","-0.523176","-0.799336","1.45774","-2.69444","-3.16201","-3.20742"
"3.67729","-0.517012","-0.79613","3.67723","-0.517237","-0.796366","1.50785","-2.6885","-3.16103","-3.20693"
"3.72731","-0.511074","-0.793161","3.72726","-0.511298","-0.793397","1.55796","-2.68256","-3.16005","-3.20644"
"3.77734","-0.505135","-0.790192","3.77729","-0.505359","-0.790427","1.60808","-2.67662","-3.15908","-3.20596"
"3.82737","-0.499196","-0.787222","3.82732","-0.49942","-0.787458","1.65819","-2.67068","-3.1581","-3.20547"
"3.87739","-0.493258","-0.784253","3.87735","-0.493481","-0.784488","1.7083","-2.66474","-3.15713","-3.20498"
"3.92742","-0.487319","-0.781284","3.92738","-0.487542","-0.781519","1.75842","-2.6588","-3.15615","-3.20449"
"3.97745","-0.48138","-0.778314","3.97741","-0.481603","-0.778549","1.80853","-2.65286","-3.15517","-3.204"
"4.02747","-0.475441","-0.775345","4.02743","-0.475664","-0.77558","1.85864","-2.64691","-3.1542","-3.20352"
"4.0775","-0.469503","-0.772376","4.07746","-0.469725","-0.77261","1.90876","-2.64097","-3.15322","-3.20303"
"4.12753","-0.463564","-0.769406","4.12749","-0.463786","-0.769641","1.95887","-2.63503","-3.15224","-3.20254"
"4.17755","-0.457625","-0.766437","4.17752","-0.457847","-0.766671","2.00899","-2.62909","-3.15127","-3.20205"
"4.22758","-0.451687","-0.763468","4.22755","-0.451908","-0.763702","2.0591","-2.62315","-3.15029","-3.20156"
"4.27761","-0.445748","-0.760498","4.27758","-0.44597","-0.760733","2.10921","-2.61721","-3.14931","-3.20107"
"4.32763","-0.439809","-0.757529","4.32761","-0.440031","-0.757763","2.15933","-2.61127","-3.14834","-3.20059"
"4.37766","-0.433871","-0.75456","4.37764","-0.434092","-0.754794","2.20944","-2.60533","-3.14736","-3.2001"
"4.42769","-0.427932","-0.75159","4.42766","-0.428153","-0.751824","2.25955","-2.59939","-3.14638","-3.19961"
"4.47771","-0.421993","-0.748621","4.47769","-0.422214","-0.748855","2.30967","-2.59345","-3.14541","-3.19912"
"4.52774","-0.416055","-0.745652","4.52772","-0.416275","-0.745885","2.35978","-2.58751","-3.14443","-3.19863"
"4.57777","-0.410116","-0.742682","4.57775","-0.410336","-0.742916","2.4099","-2.58157","-3.14345","-3.19814"
"4.62779","-0.404177","-0.739713","4.62778","-0.404397","-0.739946","2.46001","-2.57563","-3.14248","-3.19766"
"4.67782","-0.398239","-0.736744","4.67781","-0.398458","-0.736977","2.51012","-2.56969","-3.1415","-3.19717"
"4.72785","-0.3923","-0.733774","4.72784","-0.392519","-0.734007","2.56024","-2.56375","-3.14052","-3.19668"
"4.77787","-0.386361","-0.730805","4.77787","-0.38658","-0.731038","2.61035","-2.55781","-3.13955","-3.19619"
"4.8279","-0.380423","-0.727836","4.82789","-0.380641","-0.728068","2.66046","-2.55187","-3.13857","-3.1957"
"4.87793","-0.374484","-0.724866","4.87792","-0.374702","-0.725099","2.71058","-2.54593","-3.13759","-3.19521"
"4.92795","-0.368545","-0.721897","4.92795","-0.368764","-0.72213","2.76069","-2.53999","-3.13662","-3.19473"
"4.97798","-0.362607","-0.718928","4.97798","-0.362825","-0.71916","2.8108","-2.53405","-3.13564","-3.19424"
"5.02801","-0.356668","-0.715958","5.02801","-0.356886","-0.716191","2.86092","-2.52811","-3.13466","-3.19375"
"5.07803","-0.350729","-0.712989","5.07804","-0.350947","-0.713221","2.91103","-2.52217","-3.13369","-3.19326"
"5.12806","-0.34479","-0.71002","5.12807","-0.345008","-0.710252","2.96115","-2.51623","-3.13271","-3.19277"
"5.17809","-0.338852","-0.70705","5.17809","-0.339069","-0.707282","3.01126","-2.51029","-3.13173","-3.19228"
"5.22811","-0.332913","-0.704081","5.22812","-0.33313","-0.704313","3.06137","-2.50435","-3.13076","-3.1918"
"5.27814","-0.326974","-0.701111","5.27815","-0.327191","-0.701343","3.11149","-2.49841","-3.12978","-3.19131"
"5.32817","-0.321036","-0.698142","5.32818","-0.321252","-0.698374","3.1616","-2.49247","-3.1288","-3.19082"
"5.37819","-0.315097","-0.695173","5.37821","-0.315313","-0.695404","3.21171","-2.48652","-3.12783","-3.19033"
"5.42822","-0.309158","-0.692203","5.42824","-0.309374","-0.692435","3.26183","-2.48058","-3.12685","-3.18984"
"5.47825","-0.30322","-0.689234","5.47827","-0.303435","-0.689465","3.31194","-2.47464","-3.12587","-3.18935"
"5.52827","-0.297281","-0.686265","5.5283","-0.297496","-0.686496","3.36206","-2.4687","-3.1249","-3.18887"
"5.5783","-0.291342","-0.683295","5.57832","-0.291557","-0.683527","3.41217","-2.46276","-3.12392","-3.18838"
"5.62833","-0.285404","-0.680326","5.62835","-0.285619","-0.680557","3.46228","-2.45682","-3.12294","-3.18789"
"5.67835","-0.279465","-0.677357","5.67838","-0.27968","-0.677588","3.5124","-2.45088","-3.12197","-3.1874"
"5.72838","-0.273526","-0.674387","5.72841","-0.273741","-0.674618","3.56251","-2.44494","-3.12099","-3.18691"
"5.77841","-0.267588","-0.671418","5.77844","-0.267802","-0.671649","3.61262","-2.439","-3.12001","-3.18643"
"5.82843","-0.261649","-0.668449","5.82847","-0.261863","-0.668679","3.66274","-2.43306","-3.11904","-3.18594"
"5.87846","-0.25571","-0.665479","5.8785","-0.255924","-0.66571","3.71285","-2.42712","-3.11806","-3.18545"
"5.92849","-0.249772","-0.66251","5.92853","-0.249985","-0.66274","3.76296","-2.42118","-3.11708","-3.18496"
"5.97851","-0.243833","-0.659541","5.97855","-0.244046","-0.659771","3.81308","-2.41524","-3.11611","-3.18447"
"6.02854","-0.237894","-0.656571","6.02858","-0.238107","-0.656801","3.86319","-2.4093","-3.11513","-3.18398"
"6.07857","-0.231955","-0.653602","6.07861","-0.232168","-0.653832","3.91331","-2.40336","-3.11415","-3.1835"
"6.12859","-0.226017","-0.650633","6.12864","-0.226229","-0.650862","3.96342","-2.39742","-3.11318","-3.18301"
"6.17862","-0.220078","-0.647663","6.17867","-0.22029","-0.647893","4.01353","-2.39148","-3.1122","-3.18252"
"6.22865","-0.214139","-0.644694","6.2287","-0.214351","-0.644924","4.06365","-2.38554","-3.11122","-3.18203"
"6.27867","-0.208201","-0.641725","6.27873","-0.208413","-0.641954","4.11376","-2.3796","-3.11025","-3.18154"
"6.3287","-0.202262","-0.638755","6.32876","-0.202474","-0.638985","4.16387","-2.37366","-3.10927","-3.18105"
"6.37873","-0.196323","-0.635786","6.37878","-0.196535","-0.636015","4.21399","-2.36772","-3.1083","-3.18057"
"6.42875","-0.190385","-0.632817","6.42881","-0.190596","-0.633046","4.2641","-2.36178","-3.10732","-3.18008"
"6.47878","-0.184446","-0.629847","6.47884","-0.184657","-0.630076","4.31421","-2.35584","-3.10634","-3.17959"
"6.52881","-0.178507","-0.626878","6.52887","-0.178718","-0.627107","4.36433","-2.3499","-3.10537","-3.1791"
"6.57884","-0.172569","-0.623909","6.5789","-0.172779","-0.624137","4.41444","-2.34396","-3.10439","-3.17861"
"6.62886","-0.16663","-0.620939","6.62893","-0.16684","-0.621168","4.46456","-2.33802","-3.10341","-3.17812"
"6.67889","-0.160691","-0.61797","6.67896","-0.160901","-0.618198","4.51467","-2.33207","-3.10244","-3.17764"
"6.72892","-0.154753","-0.615001","6.72899","-0.154962","-0.615229","4.56478","-2.32613","-3.10146","-3.17715"
"6.77894","-0.148814","-0.612031","6.77901","-0.149023","-0.612259","4.6149","-2.32019","-3.10048","-3.17666"
"6.82897","-0.142875","-0.609062","6.82904","-0.143084","-0.60929","4.66501","-2.31425","-3.09951","-3.17617"
"6.879","-0.136937","-0.606093","6.87907","-0.137145","-0.606321","4.71512","-2.30831","-3.09853","-3.17568"
"6.92902","-0.130998","-0.603123","6.9291","-0.131206","-0.603351","4.76524","-2.30237","-3.09755","-3.17519"
"6.97905","-0.125059","-0.600154","6.97913","-0.125268","-0.600382","4.81535","-2.29643","-3.09658","-3.17471"
"7.02908","-0.11912","-0.597185","7.02916","-0.119329","-0.597412","4.86547","-2.29049","-3.0956","-3.17422"
"7.0791","-0.113182","-0.594215","7.07919","-0.11339","-0.594443","4.91558","-2.28455","-3.09462","-3.17373"
"7.12913","-0.107243","-0.591246","7.12922","-0.107451","-0.591473","4.96569","-2.27861","-3.09365","-3.17324"
"7.17916","-0.101304","-0.588276","7.17924","-0.101512","-0.588504","5.01581","-2.27267","-3.09267","-3.17275"
"7.22918","-0.0953657","-0.585307","7.22927","-0.0955729","-0.585534","5.06592","-2.26673","-3.09169","-3.17226"
"7.27921","-0.0894271","-0.582338","7.2793","-0.089634","-0.582565","5.11603","-2.26079","-3.09072","-3.17178"
"7.32924","-0.0834884","-0.579368","7.32933","-0.0836951","-0.579595","5.16615","-2.25485","-3.08974","-3.17129"
"7.37926","-0.0775497","-0.576399","7.37936","-0.0777562","-0.576626","5.21626","-2.24891","-3.08876","-3.1708"
"7.42929","-0.071611","-0.57343","7.42939","-0.0718172","-0.573656","5.26637","-2.24297","-3.08779","-3.17031"
"7.47932","-0.0656723","-0.57046","7.47942","-0.0658783","-0.570687","5.31649","-2.23703","-3.08681","-3.16982"
"7.52934","-0.0597336","-0.567491","7.52945","-0.0599394","-0.567718","5.3666","-2.23109","-3.08583","-3.16934"
"7.57937","-0.0537949","-0.564522","7.57947","-0.0540005","-0.564748","5.41672","-2.22515","-3.08486","-3.16885"
"7.6294","-0.0478563","-0.561552","7.6295","-0.0480615","-0.561779","5.46683","-2.21921","-3.08388","-3.16836"
"7.67942","-0.0419176","-0.558583","7.67953","-0.0421226","-0.558809","5.51694","-2.21327","-3.0829","-3.16787"
"7.72945","-0.0359789","-0.555614","7.72956","-0.0361837","-0.55584","5.56706","-2.20733","-3.08193","-3.16738"
