"	1-065_ANT4	1-065_OE_BUO	1-065_OOE_ANT1	1-065_OOE_ANT2	1-065_OOE_ANT3	1-065_OOE_CEN	1-065_OOE_COL5	FM__1-065_OOE_ACU	FM_1_065_OOE__FIL	FM_1-065_ALM-KIS	FM_1-065_ALM-LAT	FM_1-065_AVO_LAT	FM_1-065_AVO_OLI	FM_1-065_AVO_SAN2	FM_1-065_AVO-CHO	FM_1-065_AVO-SAN1	FM_1-065_CAN_CED	FM_1-065_CAN_COM	FM_1-065_CAN_HAR	FM_1-065_COR-MAZ	FM_1-065_FLA-GOL1	FM_1-065_FLA-GOL2	FM_1-065_GRA-BAS1	FM_1-065_GRA-BAS2	FM_1-065_GRA-CAR	FM_1-065_GRA-MAN	FM_1-065_HAZ_GEO	FM_1-065_HAZ_LAT	FM_1-065_HEM_GOL	FM_1-065_ILF1	FM_1-065_MAG-HGV	FM_1-065_OOE_AUM	FM_1-065_OOE_BOR	FM_1-065_OOE_CAL	FM_1-065_OOE_COL1	FM_1-065_OOE_COL3	FM_1-065_OOE_CRI	FM_1-065_OOE_FRA1	FM_1-065_OOE_FRA4	FM_1-065_OOE_GEM	FM_1-065_OOE_HER	FM_1-065_OOE_KRI	FM_1-065_OOE_KRN	FM_1-065_OOE_KRN2	FM_1-065_OOE_KRT	FM_1-065_OOE_MAS	FM_1-065_OOE_NEF	FM_1-065_OOE_PAE	FM_1-065_OOE_SAM2	FM_1-065_OOE_TRA1	FM_1-065_OOE-ALL	FM_1-065_OOE-AUR	FM_1-065_OOE-CLE	FM_1-065_OOE-COL2	FM_1-065_OOE-COL4	FM_1-065_OOE-DOM	FM_1-065_OOE-FRA3	FM_1-065_OOE-GIA	FM_1-065_OOE-ILF2	FM_1-065_OOE-LOR	FM_1-065_OOE-MIN	FM_1-065_OOE-NUN	FM_1-065_OOE-PLA	FM_1-065_OOE-PRT	FM_1-065_OOE-SAM1	FM_1-065_OOE-SOL	FM_1-065_OOE-TRA2	FM_1-065_OOE-VAL	FM_1-065_OOR-FILL	FM_1-065_OOR-GAL	FM_1-065_OOR-MAS	FM_1-065_PEA_PLA	FM_1-065_PEA-CED	FM_1-065_PEA-LIO	FM_1-065_PIS-LAT	FM_1-065_PUM_GEA	FM_1-065_PUM_PEL	FM_1-065_RIC_EPI	FM_1-065_SED-DID1	FM_1-065_SES_CLI	FM_1-065_SES-D1D2	FM_1-065_SES-GRE	FM_1-065_SES-KAD1	FM_1-065_SES-KAD2	FM_1-065_SES-MJR	FM_1-065_SUN_CEO	FM_1-065_SUN_COM	FM_1-065_SUN-SAF	FM_1-065_SUN-SAF2	FM_1-065_SUN-UNI	FM_1-065_WAL-LAT	FM_1-0655_SES_TOK	FM1-065_OOE-FRA2	FM-1-065_OOE-PAR	"
"-0.467192	-0.500466	-0.143568	0.15413	-0.0878025	-0.245759	-0.0270256	-0.0154557	-0.155117	-0.0544788	-0.167268	-0.0549401	-0.0104305	-0.0624369	-0.0427383	-0.276196	-0.158747	-0.301773	0.035721	0.204208	-0.160443	-0.0245198	-0.252464	-0.094977	0.0875426	-0.182427	0.0125241	0.122067	-0.221862	0.0173516	0.0523099	0.369	0.168422	-0.0555312	-0.306984	-0.0983468	0.0628855	-0.0679857	-0.0182179	-0.249213	0.0206857	-0.138974	0.0716193	-0.102666	-0.138486	-0.243949	-0.0421177	0.057185	-0.0950336	-0.122466	0.0886961	-0.189752	-0.0107185	0.0269334	-0.0207895	-0.105722	0.0678599	-0.0968182	-0.0636234	-0.125072	-0.271967	-0.00079201	-0.264576	-0.229587	-0.11341	-0.136274	-0.270805	-0.26191	-0.101482	-0.362985	-0.202426	0.129172	-0.217469	-0.208758	-0.13893	-0.158947	-0.342713	-0.443404	-0.281689	-0.102819	-0.232336	0.19496	-0.0435305	-0.0162878	-0.145258	-0.133345	0.338591	-0.296807	-0.236726	-0.0935882	0.0871013	0.144818	-0.0284781	-0.0425284	-0.32358	"
"-0.417015	-0.13772	0.088747	0.380684	0.286921	-0.108157	0.272263	0.296714	0.116639	0.287845	0.15039	0.194071	0.279076	0.083664	0.26612	-0.00880808	-0.0645443	-0.00485439	0.280861	0.438158	-0.00701969	0.105613	-0.0775299	0.214606	0.372087	0.156439	0.338879	0.519902	0.130145	0.267584	0.320815	0.88989	0.44396	0.425375	0.102806	0.404455	0.454565	0.236946	0.270493	-0.0719537	0.394737	0.0792351	0.478976	0.17963	0.177121	0.0641804	0.222745	0.108192	0.217554	0.29964	0.290375	0.105011	0.329971	0.18137	0.425055	0.268166	0.354834	0.219675	0.309771	0.0730738	-0.0455397	0.287561	-0.0827728	0.077894	0.109938	0.164237	-0.0791043	-0.0551468	0.196755	-0.138571	0.11577	0.427362	-0.0198414	-0.135909	0.269399	0.115687	-0.258662	-0.288097	-0.0804261	-0.077875	0.0355666	0.393744	0.212308	0.214868	-0.00283928	0.165625	0.646386	-0.0512746	0.169804	0.13358	0.375693	0.487756	0.138349	0.245828	-0.00770914	"
"-0.366839	0.0378956	0.307257	0.766398	0.685133	0.208064	0.429679	0.605912	0.683768	0.72056	0.292694	0.521085	0.502425	0.433428	0.704232	0.108776	0.0553859	0.226854	0.721442	0.845421	0.177482	0.350733	0.126213	0.587335	0.82275	0.681699	0.6674	1.05731	0.432518	0.614821	0.848174	1.43669	0.803864	0.805184	0.401856	0.932292	0.860913	0.542947	0.574859	0.208619	0.762989	0.450567	0.931201	0.582354	0.550662	0.423115	0.637615	0.559715	0.584015	0.567841	0.678951	0.73163	0.778309	0.542211	0.722878	0.662779	0.853861	0.572153	0.769207	0.47302	0.304712	0.579975	0.330009	0.407537	0.478009	0.532805	0.231231	0.178804	0.55613	0.205279	0.413266	1.0605	0.273593	0.0364155	0.612858	0.380346	-0.14765	-0.126989	0.147955	0.0900336	0.311562	0.703829	0.469939	0.467597	0.329132	0.354974	1.15068	0.213371	0.444016	0.537336	0.826715	0.790932	0.610755	0.613499	0.0134883	"
"-0.316663	0.152734	0.670079	1.1925	0.877366	0.265916	0.517338	0.965744	0.892178	1.05297	0.557175	0.758769	0.816916	0.684816	0.8678	0.443064	0.146758	0.479644	1.02604	1.29333	0.388898	0.668367	0.444973	1.03382	1.12939	0.82837	0.931687	1.50508	0.664025	0.929741	1.06695	1.65627	1.28362	1.08693	0.715084	1.21882	1.4782	0.903909	0.72851	0.442981	1.12278	0.756225	1.3622	0.820234	0.93479	0.629916	0.949829	0.790581	0.94931	0.805105	0.814054	1.43395	1.20562	0.849907	1.03655	0.763117	1.07054	0.820035	1.04648	0.578137	0.447038	0.83477	0.649311	0.718359	0.834458	0.908225	0.220668	0.355949	0.893272	0.397891	0.700438	1.41408	0.525256	0.261843	0.877669	0.707342	0.0189975	0.0718443	0.245833	0.191655	0.618375	0.948615	0.693002	0.696262	0.440617	0.712031	1.52934	0.333021	0.855595	1.06025	1.08997	1.40827	0.965877	0.947652	0.129273	"
"-0.266486	1.29891	1.36569	2.34577	1.67467	0.89904	1.60964	1.72548	1.79659	1.7713	1.18628	1.30437	1.7135	1.33799	1.45135	0.973797	0.662937	1.03135	1.7201	2.17051	0.740407	1.00024	0.662733	1.52906	2.02256	1.65359	1.59165	2.26935	1.49291	1.54002	2.10007	2.73351	2.46383	2.04855	1.69029	2.21659	2.35836	1.63891	2.02609	1.12853	1.9966	1.36811	2.22724	1.51875	1.59451	1.15598	1.71424	1.5476	1.4204	1.63398	1.68385	2.5491	2.02856	1.53735	1.94484	1.5936	1.8839	1.42097	1.92264	1.45116	1.11215	1.5965	1.29448	1.3862	1.52386	1.47573	0.963439	1.09332	1.60647	0.839557	1.43663	2.50516	1.29426	0.727351	1.65247	1.30334	0.659389	0.878231	1.02569	0.7045	1.28736	1.57196	1.25547	1.44048	1.1975	1.30631	2.41267	1.10271	1.62968	1.57144	1.92625	2.05686	1.68388	1.66876	0.69265	"
"-0.21631	0.903748	1.34371	2.35602	1.86615	0.610193	1.53841	1.89698	1.7884	1.76164	1.38564	1.46962	1.71951	1.35751	1.70729	1.08533	0.720998	1.21616	2.08614	2.41858	0.981617	1.47653	1.11099	1.77701	2.02641	1.68522	1.8674	2.55786	1.49426	1.89546	2.47082	2.97628	2.25612	1.98045	1.68366	2.07344	2.45199	1.66175	1.84191	1.07627	2.20046	1.46131	2.38685	1.67145	1.73326	1.21624	1.82577	1.54603	1.5841	1.67493	1.87235	2.57551	2.50859	1.68804	2.10011	1.79076	1.96496	1.57632	2.09629	1.34152	1.07079	1.96887	1.34931	1.25051	1.54322	1.68689	0.783908	1.01579	1.57233	0.822087	1.48863	2.57934	1.33756	0.767303	1.82292	1.35568	0.626333	0.657977	0.826431	0.711934	1.3939	1.83223	1.56346	1.57791	1.28183	1.4437	2.76466	1.02187	1.62842	1.88648	2.19713	2.39625	1.61043	2.03528	0.587066	"
"-0.166134	1.73585	1.9257	3.09462	2.54013	1.43233	2.11656	2.43591	2.73791	2.67945	2.02874	2.0245	2.35623	1.74916	2.26143	1.97712	1.10276	2.00353	2.83492	3.42302	1.50237	1.91658	1.30851	2.60907	2.83072	2.23085	2.55023	3.52556	2.33826	2.575	3.37418	3.86107	3.2285	2.98515	2.36369	2.7041	3.3744	2.43715	2.85143	1.6203	3.06834	2.05174	3.30571	2.3855	2.40968	1.82693	2.77738	2.2195	2.30301	2.3621	2.73483	3.68087	3.09456	2.29736	2.83278	2.52641	2.5297	2.16589	2.9787	1.96936	1.7029	2.77559	1.771	1.90124	2.41849	2.18242	1.28027	1.62382	2.20555	1.1564	2.19467	3.45054	2.06252	1.10837	2.5099	1.84116	1.36069	1.14317	1.63357	1.22092	2.44286	2.32798	2.07969	2.18996	1.8725	2.05915	3.60992	2.02576	2.40123	2.79062	3.39869	3.0509	2.60792	2.68941	0.991697	"
"-0.115957	4.96454	4.3052	5.95789	5.22648	3.77541	4.97426	5.03714	5.33065	4.78327	3.55209	4.21446	5.1097	4.33617	4.92438	3.433	3.32291	4.04642	5.15575	5.93249	2.49931	3.32819	2.77442	3.92196	5.3044	4.14729	5.33365	5.87795	4.51402	4.51939	5.91965	7.06952	6.07547	5.42188	4.60301	5.34616	5.79472	4.54418	5.43282	3.74244	5.26778	4.23407	5.56204	4.54444	4.27798	3.80634	5.04574	4.54272	4.31883	4.62498	5.40787	5.75454	5.37302	4.51358	5.1903	4.803	4.80993	4.14664	5.29357	4.44545	3.71938	4.77699	3.62085	3.91132	4.59754	3.90518	3.6998	3.74845	4.24133	2.91195	4.36429	6.00968	4.37666	2.75077	4.51614	3.60451	3.34241	3.46226	4.08211	3.47927	4.86959	4.62663	3.62404	4.40402	3.8189	3.75418	6.32177	4.05996	4.41081	4.05686	6.12423	4.5686	5.41816	4.68525	3.11564	"
"-0.0657811	4.07954	4.37113	5.81481	4.89327	3.29544	4.42757	5.05973	5.09778	4.8549	4.39629	3.93877	4.3829	3.22154	3.72227	4.07266	2.30468	4.05691	5.26262	5.73906	2.82971	3.55616	3.11455	4.49072	4.37098	4.17691	4.08338	6.21349	4.49809	4.19698	5.31076	6.33729	5.34673	5.36287	4.67089	5.26507	6.10706	4.73777	4.74116	3.65116	5.55777	4.41127	5.64793	4.58657	4.75955	4.05829	5.11348	4.66502	4.81445	4.84722	4.96784	6.58007	5.23404	4.80856	5.56825	4.80853	4.96513	4.70208	5.22156	4.28165	3.90334	5.25295	4.39222	4.15315	4.69865	4.81363	3.1026	3.70044	4.68251	3.31519	4.15524	5.86876	4.55687	2.95368	4.76613	3.97224	3.08505	2.7725	3.28446	2.02966	4.14386	3.75603	3.98474	4.32908	3.71587	4.15771	5.23387	3.86272	4.46803	4.38517	4.82139	5.24195	4.82635	5.10495	3.15625	"
"-0.0156048	5.59463	5.48225	7.38136	6.6433	4.7666	5.96182	6.45141	6.64415	6.08039	5.60351	4.65882	5.74021	4.05595	4.73731	5.35867	3.08614	5.26324	6.48479	7.29016	3.23014	4.23449	3.5176	5.47265	5.91773	5.36897	5.29341	7.6616	5.62853	5.10914	6.75027	7.9183	6.97451	7.05724	5.99224	6.84587	7.50477	5.96729	6.57389	4.67974	7.03664	5.79512	7.20138	5.95754	5.96081	5.56813	6.56812	6.19526	6.13893	6.33954	6.51439	9.13674	6.28876	6.21648	6.91471	5.98819	6.45826	5.96241	6.42657	5.92756	5.30688	6.45551	5.79148	5.84781	6.10006	5.80146	4.292	4.93854	5.77314	4.35878	5.25793	7.48218	5.58054	3.57211	6.48705	4.94631	3.97705	3.86112	4.67171	3.02997	5.62471	4.67578	4.74037	5.47006	4.82656	5.09525	6.62192	5.0329	5.60703	5.35563	6.35611	6.56263	6.14528	6.20163	4.3465	"
