	TH_OOE_PAR_400	TH_OOE_PLA_400	TH_OOE_PRT_400	TH_OOE_VAL_400	TH_OOR_FIL_400	TH_PUM_PEL_400	TH_RIC_EPI_400	TH_SES_CLI_400	TH_SES_DID2_400	TH_SES_LAT_400	TH_SES_TOK_400	TH_SES_YEO_400	TH_SUN_SAF1_400	TH_AVO_SAN2_400	TH_CAN_COM_400	TH_HAZ_GEO_400	TH_HAZ_LAT_400	TH_OOE_ALL_400	TH_OOE_COL4_400	TH_OOE_FRA2_400	TH_OOE_FRA3_400	TH_OOE_LOR_400	TH_OOE_MIN_400	TH_OOE_HER_400	TH_OOE_KRN2_400	TH_OOE_KRT_400	TH_OOE_NEF_400	TH_OOE_NUN_400	TH_OOE_SAM1_400	TH_OOE_SAM2_400	TH_OOE_SOL_400	TH_PEA_PLA_400	TH_PUM_GEA_400	TH_SUN_CED_400	TH_SUN_COM_400	TH_CAN_HAR_400	TH_GRA_MAN_400	TH_HEM_GOL_400	TH_HEM_SAT_400	TH_OOE_COL1_400	TH_OOE_CAL_400	TH_OOE_CRI_400	TH_OOE_DOM_400	TH_OOE_FRA4_400	TH_OOE_GEM_400	TH_OOE_KRI_400	TH_OOE_KRN1_400	TH_OOE_PAE_400	TH_OOE_TRA2_400	TH_PEA_CED_400	TH_SES_DID1_400	TH_SUN_UNI_400	TH_AVO_LAT_400	TH_AVO_OLI_400	TH_AVO_SAN1_400	TH_CAN_CED_400	TH_COR_MAZ_400	TH_FLA_GOL2_400	TH_OOE_ANT4_400	TH_OOE_AUM_400	TH_OOE_AUR_400	TH_OOE_BUO_400	TH_OOE_CLE_400	TH_OOE_COL3_400	TH_OOE_GIA_400	TH_OOE_ILF_400	TH_OOE_ILF2_400	TH_OOE_MAS_400	TH_OOE_TRA1_400	TH_OOR_GAL_400	TH_OOR_MAS_400	TH_PEA_LIO_400	TH_PIS_LAT_400	TH_SAN_SAF2_400	TH_SES_KAD1_400	TH_SES_KAD2_400	TH_SES_MAR_400	TH_WAL_LAT_400	TH_AVO_CHO_400	TH_GRA_BAS1_400	TH_GRA_CAR_400	TH_OOE_ACU_400	TH_OOE_ANT3_400	TH_OOE_ANT1_400	TH_OOE_ANT2_400	TH_OOE_BOR_400	TH_OOE_CEN_400	TH_OOE_COL2_400	TH_OOE_COL5_400	TH_OOE_FIL_400	TH_OOE_FRA1_400	TH_SES_GRE_400	TH_ALM_KIS_400	TH_ALM_LAT_400	TH_FLA_GOL1_400	TH_GRA_BAS2_400	TH_MAC_HGV_400	
-2.57569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0294028	0	0	0	0	0	9.01404e-05	0	0	0	0	0	0	0	
-2.52569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00784901	0	0	0	0	0	0.00827483	0	0	0	0	0	0	0	
-2.4757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0367539	0	0	0	0	0	-0.00769768	0	0	0	0	0	0	0	
-2.4257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00122669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00407562	0	0	0	0	0	-0.00113386	0	0	0	0	0	0	0	
-2.3757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00319849	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00710796	0	0	0	0	0	0.00557928	0	0	0	0	0	0	0	
-2.32571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00385849	0.00109448	0	0	0.0202708	0.0016965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.000313692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00418802	0	0	0.00125013	0	0	-0.0158592	0	0	0	0.00130444	0.00387637	0	0	
-2.27571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00911172	-0.00595013	0	0	-0.00806076	-0.00697849	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00363233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00873511	0	0	0.00232668	0	0	-0.00209521	0	0	0	0.00386963	-0.00701094	0	-0.00269024	
-2.22571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00156519	0.00329186	0	0	0.00478507	0.00275727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00140798	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00517161	0	0	-0.000314067	0	0	0.0038698	0	0	0.000309472	-0.00591825	-0.00168771	0.00141788	0.00320088	
-2.17572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00333057	-0.00212279	0	0	-0.00486803	0.000184693	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00751076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00956955	0	0	-0.00333217	0	0	0.00278552	0	0.00395427	0.00591707	-0.000457456	0.00668985	0.00272972	-0.00296509	
-2.12572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00278622	-0.00161826	0	0	0.000920986	0.00591474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00931175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00374639	0	0	-0.00216268	0	0	0.0101101	0	0.00164522	1.46303e-05	0.0020611	0.00524031	-0.00236125	0.0024209	
