	TH_HAZ_LAT_60_1	TH_OOE_CLE_60	TH_OOE_TRA1_60	TH_OOR_GAL_60	TH_OOR_MAS_60	TH_PEA_LIO_60	TH_PIS_LAT_60	TH_SES_KAD1_60	TH_SES_KAD2_60	TH_SES_MAR_60	TH_WAL_LAT_60	TH_AVO_CHO_60	TH_OOE_ANT3_60	TH_OOE_ANT4_60	TH_OOE_AUM_60	TH_OOE_AUR_60	TH_OOE_GIA_60	TH_OOE_ILF_60	TH_OOE_ILF2_60	TH_OOE_MAS_60	TH_OOE_ACU_60	TH_OOE_BUO_60	TH_OOE_COL3_60	TH_SUN_SAF2_60	TH_GRA_BAS1_60	TH_GRA_CAR_60	TH_OOE_ANT1_60	TH_OOE_ANT2_60	TH_OOE_BOR_60	TH_OOE_CEN_60	TH_OOE_COL2_60	TH_OOE_COL5_60	TH_OOE_FIL_60	TH_OOE_FRA1_60	TH_SES_GRE_60	TH_ALM_KIS_60	TH_ALM_LAT_60	TH_FLA_GOL1_60	TH_GRA_BAS2_60	TH_MAC_HGV_60	TH_OOE_COL4_60	TH_OOE_FRA2_60_1	TH_OOE_FRA3_60_1	TH_OOE_LOR_60	TH_OOE_MIN_60_1	TH_OOE_PAR_60	TH_OOE_PLA_60	TH_OOE_PRT_60	TH_OOE_VAL_60	TH_OOR_FIL_60_1	TH_PUM_PEL_60	TH_RIC_EPI_60	TH_SES_CLI_60	TH_SES_DID2_60	TH_SES_LAT_60	TH_SES_TOK_60	TH_SES_YEO_60	TH_SUN_SAF1_60_1	TH_AVO_SAN2_60_1	TH_CAN_COM_60_1	TH_HAZ_GEO_60	TH_OOE_ALL_60	TH_CAN_CED_60_2	TH_COR_MAZ_60	TH_FLA_GOL2_60	TH_OOE_CAL_60	TH_OOE_CRI_60	TH_OOE_DOM_60	TH_OOE_FRA4_60	TH_OOE_GEM_60	TH_OOE_KRI_60	TH_OOE_KRN1_60	TH_OOE_PAE_60	TH_OOE_TRA2_60	TH_PEA_CED_60	TH_SES_DID1_60	TH_SUN_UNI_60	TH_AVO_LAT_60	TH_AVO_OLI_	TH_AVO_SAN1_60	TH_OOE_KRN2_60	TH_OOE_KRT_60	TH_OOE_NEF_60	TH_OOE_NUN_60	TH_OOE_SAM1_60	TH_OOE_SAM2_60	TH_OOE_SOL_60	TH_PEA_PLA_60	TH_PUM_GEA_60	TH_SUN_CED_60	TH_SUN_COM_60	TH_CAN_HAR_60	TH_GRA_MAN_60	TH_HEM_GOL_60	TH_HEM_SAT_60	TH_OOE_COL1_60	TH_OOE_HER_60	
-0.522506	0.86176	0.13752	0.194007	0.137407	-0.104385	0.0141189	0.0819807	0.165324	0.126733	0.0369038	-1.83983	0.0820085	0.106499	-0.54413	0.16288	-0.0196375	0.233551	0.0598581	0.152579	-0.0412926	0.182266	0.184503	-0.157185	0.00711238	-0.0112433	-0.343865	0.36556	0.477748	0.534185	0.166926	0.280968	-0.115345	0.188158	0.297607	-0.652433	-0.49748	0.234237	-0.19299	0.127746	0.252557	-0.281473	0.0456705	-0.397132	-0.129868	-0.309862	-0.535538	0.0964649	-0.675402	-0.102171	-0.185972	-0.279324	-0.672233	-0.130456	-0.0432359	-0.262213	-0.551065	-0.196723	-0.321816	-0.272211	-0.506562	-0.137652	-0.433224	0.337383	-0.654089	0.286271	0.499818	0.502241	0.472222	0.37316	0.328283	0.591871	0.348807	0.344518	-0.609004	0.290983	-0.0228948	0.0194473	0.52453	-0.412632	0.255808	-0.291603	-0.00681158	-0.307012	0.164199	-0.147779	0.0806653	0.110291	0.0981739	-0.154901	0.075149	-0.00212586	-0.509633	0.0649606	0.278249	0.561436	0.27619	0.274596	
-0.472305	1.34867	0.150257	0.223563	0.17496	0.340136	0.132002	0.212927	0.271097	0.123493	0.281337	-2.02384	0.0341496	0.420356	-0.220751	0.119543	0.025084	0.14464	0.342483	0.149019	0.0388843	0.635219	0.294391	0.231878	-0.00671834	0.0319063	0.0281446	0.428259	0.501107	0.589326	0.255453	0.472866	0.238789	0.276884	0.302293	-0.133855	-0.0932561	0.448459	-0.0329716	0.235103	0.369574	0.0746395	0.271079	-0.142177	0.084284	-0.0923186	0.033732	0.328278	-0.366577	0.371626	-0.00641279	-0.0401704	-0.353714	0.006022	0.137121	0.0143262	-0.325576	-0.0587943	-0.0915697	-0.0793715	-0.44722	-0.322186	-0.243032	0.448395	-0.00961816	0.503917	0.732103	0.456978	0.671074	0.458746	0.362226	0.640838	0.68202	0.470852	-0.0582119	0.463185	0.0221939	0.154745	0.567623	0.0224242	0.380278	0.057066	0.283063	-0.332232	0.298628	0.374651	0.104938	0.148458	0.159777	-0.0776782	0.142953	0.084135	-0.175144	0.178211	0.186073	0.665478	0.426536	0.387684	
-0.422105	2.13524	0.559125	0.578568	0.393111	0.710434	0.504937	0.4137	0.414248	0.263158	0.513366	-2.44975	0.158875	0.682875	0.400823	0.374888	0.217376	0.246065	0.93874	0.532894	0.123294	1.21711	0.346785	0.82231	0.210142	0.348439	0.196194	0.904882	0.990974	1.11992	0.488741	0.702615	0.895847	0.514538	0.576664	0.440696	0.598237	0.820173	0.0760771	0.562595	0.559209	0.372043	0.582968	0.357888	0.590357	0.438827	0.774638	0.848456	-0.186876	0.648211	0.236655	0.624897	-0.0159582	0.0553135	0.685607	0.146431	-0.0528203	0.386197	0.176137	0.0800761	-0.0483621	-0.149491	-0.153458	0.932182	0.616082	0.880632	0.850495	0.909826	1.3705	0.848523	0.92308	0.844459	1.26569	0.662301	0.850182	0.863053	0.0174543	0.226349	0.627598	0.748402	0.967531	0.396577	0.40561	0.0177064	0.553519	0.870245	0.350869	0.300041	0.273913	0.0354288	0.179441	0.166039	0.290189	0.189922	0.468265	1.02406	0.637237	0.514071	
-0.371904	3.03246	0.909693	1.07395	0.804101	0.946564	0.712826	0.723509	0.456971	0.473012	0.789255	-2.83746	0.419716	1.00413	0.86125	0.607073	0.540791	0.453099	1.37233	0.863939	0.423634	1.59991	0.568033	1.33117	0.561181	0.588021	0.646605	1.25016	1.20946	1.53541	0.673121	1.07577	1.50247	1.02036	0.909028	1.03355	1.1669	1.12543	0.190731	0.840699	1.04113	0.748798	1.1172	0.810257	0.97652	0.947214	1.30989	1.50682	0.347308	1.04535	0.56838	1.4535	0.402664	0.358655	1.17535	0.641168	0.29158	0.708041	0.438835	0.370855	0.366341	0.0250079	0.448298	1.43454	1.18037	1.17592	1.29076	1.44038	1.82634	1.30404	1.17086	1.24252	1.78451	0.94906	1.93216	1.47426	0.456406	0.738581	1.0975	1.65593	1.45482	0.775301	0.684518	0.0728707	0.660905	1.34294	0.534978	0.525666	0.603305	0.272617	0.517348	0.438102	0.917646	0.631831	1.03438	1.63368	0.896716	0.86086	
-0.321704	3.94179	0.78451	1.41804	1.17489	1.36031	0.929006	1.0712	0.580669	0.643161	0.804301	-3.658	0.451696	1.22699	1.38385	0.649349	0.700095	0.565452	1.79845	0.987025	0.500595	2.13377	0.737985	1.96623	0.275198	0.419411	0.879455	1.3816	1.38499	1.89838	0.811606	1.27075	2.04197	1.30283	1.1021	1.3961	1.78507	1.51858	0.236985	1.02139	1.20443	1.04406	1.33738	0.954413	1.16122	1.31425	1.75422	1.89006	0.663234	1.00623	0.680288	1.76623	0.675627	0.338394	1.51048	0.879877	0.193039	0.688069	0.547048	0.510564	0.409458	0.0851007	0.646921	1.59214	2.03557	1.52556	1.57105	1.59622	2.23268	1.6747	1.56623	1.69459	2.173	1.29739	2.62067	1.47078	0.345814	0.564651	1.29634	2.24993	1.83068	0.922748	0.904787	0.248783	0.784312	1.73434	0.545174	0.650679	0.56497	0.048546	0.459603	0.536197	1.32313	0.654248	0.959323	1.97237	1.13882	1.00148	
-0.271504	5.29253	1.65974	2.25666	1.81461	2.19851	1.50977	1.6879	1.23192	1.18312	1.53214	-4.57007	0.836084	2.13347	2.50098	1.31414	1.26769	1.15863	2.90129	1.65805	0.952934	3.1082	1.17275	2.81893	0.861694	1.0564	1.60128	2.25073	2.5123	2.88939	1.82427	2.4697	2.78539	2.27696	1.84409	2.43059	2.73111	2.20808	0.401315	1.8262	1.89894	1.79759	2.21976	1.4397	2.41195	1.91739	2.75616	3.07124	1.49686	1.67022	1.37964	3.14423	1.65338	1.03728	2.3401	1.65235	0.852024	1.3125	1.02968	0.76779	0.764681	0.635424	1.53363	2.74268	3.11072	1.69515	3.14159	2.65199	3.16118	2.75557	2.48384	2.6062	3.1406	2.15709	3.91358	2.62502	1.22038	1.49731	2.4949	3.57391	3.03551	1.59622	1.43224	1.02657	1.36884	2.7576	1.47504	1.37196	1.37877	0.859184	1.26462	1.2521	2.25076	1.26301	1.85661	3.16539	1.90137	1.6752	
-0.221303	5.69662	0.873276	2.06481	1.53813	1.79452	1.25758	1.58288	0.950703	0.847139	1.41124	-5.51237	0.717116	1.82685	2.55405	1.18282	0.826539	0.968235	2.81158	1.42168	0.683608	3.21518	1.27618	2.88018	0.60032	0.700856	1.19419	1.81247	1.73783	2.76199	1.2168	2.22042	3.17379	1.82204	1.69698	1.8757	2.53411	2.03761	0.56613	1.67177	1.5032	1.41545	2.06663	1.48772	1.6742	1.76177	2.08412	2.71098	0.856899	0.996964	0.93454	2.59773	1.207	0.452234	1.89522	1.13038	0.428662	1.11916	0.912869	0.872747	0.716013	0.287432	0.68443	2.53535	2.44069	1.84122	2.5376	2.74447	2.98652	2.39063	2.24413	2.69216	3.02385	1.89683	3.48886	2.20373	0.596529	0.919554	1.74922	2.71391	2.54423	1.40332	1.32094	0.539023	1.02829	2.53462	1.1075	1.06596	0.918695	0.130024	0.785067	0.763209	2.06601	1.1208	1.18195	2.76522	1.7262	1.43512	
-0.171103	6.13017	1.20717	2.12043	1.62448	2.13206	1.41888	1.68166	0.958405	0.880412	1.60647	-7.27768	0.460157	2.33382	2.82859	1.29136	0.77765	1.00048	3.30973	1.63393	0.629494	3.79264	1.48318	3.49342	0.431462	0.682529	0.959996	2.12756	2.41098	3.2273	1.15239	2.31982	3.39513	1.84598	1.89315	2.33363	2.81402	2.17134	0.37384	1.72123	1.71153	1.51151	2.31371	1.63127	2.14878	1.76804	2.58609	3.45771	0.825526	1.26369	0.657317	3.10629	1.38913	0.378091	2.63793	1.40609	0.297883	1.18846	0.632763	0.450458	0.509099	-0.149767	0.72512	2.83239	2.70936	1.91996	2.76821	2.8788	3.69376	2.55078	2.72732	2.87535	4.08968	2.01926	4.07689	2.8032	0.682081	1.12652	2.05366	3.30439	2.81347	1.15495	1.18644	0.0694029	1.16908	2.86292	1.32269	0.945763	0.883851	-0.296751	0.825539	0.866182	2.49045	1.08625	1.47084	3.25589	1.96156	1.73735	
-0.120902	7.22373	1.17028	2.49279	1.8094	2.39599	1.55638	1.81694	1.07727	0.973279	1.63329	-8.85399	0.589713	2.66619	3.18218	1.45332	0.862724	1.13138	3.67206	1.96887	0.549932	4.08669	1.81924	3.93148	0.647316	0.878806	1.18745	2.17088	2.43276	3.70723	1.10473	2.68295	3.95228	2.03316	2.02873	2.44203	2.89183	2.42275	0.45938	1.74863	1.87185	1.5623	2.6794	1.99353	2.10122	1.99655	2.47931	3.41277	0.802801	1.51422	0.775865	3.21135	1.67711	0.383009	2.61823	1.25879	0.106038	1.14781	0.625206	0.338697	0.58147	-0.333693	0.438823	2.92555	2.91602	2.15107	2.69357	3.11574	4.27318	2.67979	2.84519	3.02714	4.79688	2.22663	4.65873	2.99788	0.658741	0.947227	1.85551	3.46569	2.61441	0.848891	1.45173	0.119532	0.997623	3.14309	1.38604	0.948736	0.898857	-0.431179	0.789184	0.724674	2.65447	0.968275	1.26545	3.63839	2.21985	1.75664	
-0.0707017	9.13585	3.2059	4.36369	3.49832	4.42491	3.21695	3.56877	2.56434	2.30635	3.29041	-9.71662	1.8093	5.03688	4.94259	3.57147	2.2231	2.71748	5.74524	3.68543	2.0751	6.16019	3.53714	5.99144	2.31712	2.2726	2.95502	4.473	5.20654	6.01718	2.87503	4.57487	5.40951	4.05006	3.76882	4.32841	4.69739	4.40941	2.32152	3.4299	4.04575	2.24529	3.80222	3.20864	3.1164	2.85389	3.90001	5.10496	1.45176	2.78389	1.64953	5.15709	2.89867	0.826559	3.80937	2.06447	0.485423	1.87518	1.14842	0.655334	1.17298	-0.0411338	1.10827	4.84281	4.74761	4.30654	5.00163	5.43319	7.3103	5.02754	5.24695	4.75614	7.47543	3.98717	6.98624	5.64697	2.41727	2.93483	4.21555	5.58792	5.05606	2.19451	3.26734	0.685239	2.90462	4.99492	3.21234	2.42418	2.69043	0.979869	2.56327	2.50817	4.53309	2.422	3.30098	5.9136	4.07596	4.03611	
